# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -1.306; -2.304; 2.648
3.1; 0.200; -1.877; -1.210; 2.233
6.2; 0.406; -2.227; -0.324; 2.251
9.3; 0.618; -2.274; -0.135; 2.278
12.4; 0.837; -2.237; -0.239; 2.250
15.5; 1.065; -2.282; 0.000; 2.282
18.6; 1.301; -1.832; 1.493; 2.363
21.7; 1.544; -1.129; 3.113; 3.311
24.8; 1.791; -0.713; 3.738; 3.806
27.9; 2.040; 0.130; 3.735; 3.737
31.0; 2.287; 0.996; 1.877; 2.125
34.1; 2.535; -1.406; -2.772; 3.108
37.2; 2.789; -0.760; -3.706; 3.783
40.3; 3.044; 0.114; -3.773; 3.775
43.4; 3.299; 0.170; -3.700; 3.703
46.5; 3.554; 0.219; -3.656; 3.663
49.6; 3.809; 0.255; -3.529; 3.538
52.7; 4.064; 0.290; -3.006; 3.020
55.8; 4.314; 1.766; 0.509; 1.838
58.9; 4.558; 0.585; 3.199; 3.252
62.0; 4.801; 0.202; 3.695; 3.701
65.1; 5.042; 0.125; 3.752; 3.754
68.2; 5.284; 0.148; 3.716; 3.719
71.3; 5.526; 0.188; 3.668; 3.673
74.4; 5.767; 0.222; 3.556; 3.562
77.5; 6.009; 0.268; 3.123; 3.134
80.6; 6.247; 1.808; 0.137; 1.813
83.7; 6.484; -1.306; -2.861; 3.145
86.8; 6.726; -0.814; -3.542; 3.634
89.9; 6.970; -0.511; -3.639; 3.675
93.0; 7.216; 0.158; -3.647; 3.650
96.1; 7.462; 0.175; -3.627; 3.631
99.2; 7.709; 0.188; -3.628; 3.633
102.3; 7.955; 0.225; -3.359; 3.367
105.4; 8.197; 1.691; -0.440; 1.747
108.5; 8.439; -1.194; 3.158; 3.376
111.6; 8.683; 0.162; 3.743; 3.747
114.7; 8.926; 0.119; 3.766; 3.768
117.8; 9.169; 0.161; 3.712; 3.715
120.9; 9.412; 0.207; 3.665; 3.671
124.0; 9.655; 0.243; 3.554; 3.562
127.1; 9.899; 0.263; 3.150; 3.161
130.2; 10.138; 1.725; 0.343; 1.758
133.3; 10.376; -1.108; -2.848; 3.056
136.4; 10.619; -0.812; -3.557; 3.648
139.5; 10.864; -0.320; -3.661; 3.675
142.6; 11.110; 0.157; -3.649; 3.652
145.7; 11.356; 0.174; -3.628; 3.632
148.8; 11.603; 0.187; -3.634; 3.638
151.9; 11.849; 0.221; -3.386; 3.393
155.0; 12.092; 1.601; -0.655; 1.730
158.1; 12.332; -0.743; 3.104; 3.192
161.2; 12.575; 0.172; 3.741; 3.745
164.3; 12.816; 0.119; 3.767; 3.769
167.4; 13.057; 0.158; 3.707; 3.711
170.5; 13.298; 0.200; 3.663; 3.668
173.6; 13.540; 0.234; 3.570; 3.578
176.7; 13.781; 0.252; 3.226; 3.236
179.8; 14.020; 1.502; 0.862; 1.732
182.9; 14.257; -1.010; -2.637; 2.824
186.0; 14.499; -0.864; -3.496; 3.601
189.1; 14.745; -0.654; -3.632; 3.690
192.2; 14.992; 0.155; -3.651; 3.654
195.3; 15.239; 0.172; -3.629; 3.633
198.4; 15.486; 0.184; -3.641; 3.645
201.5; 15.733; 0.217; -3.419; 3.426
204.6; 15.977; 1.484; -0.916; 1.744
207.7; 16.218; -0.169; 3.027; 3.031
210.8; 16.458; 0.184; 3.736; 3.741
213.9; 16.699; 0.119; 3.768; 3.770
217.0; 16.938; 0.155; 3.706; 3.710
220.1; 17.178; 0.195; 3.664; 3.669
223.2; 17.418; 0.228; 3.579; 3.587
226.3; 17.658; 0.247; 3.263; 3.272
229.4; 17.896; 1.360; 1.146; 1.778
232.5; 18.133; -0.976; -2.507; 2.690
235.6; 18.374; -0.890; -3.473; 3.585
238.7; 18.618; -0.661; -3.635; 3.694
241.8; 18.864; 0.154; -3.654; 3.657
244.9; 19.110; 0.171; -3.630; 3.634
248.0; 19.356; 0.183; -3.644; 3.648
251.1; 19.603; 0.214; -3.439; 3.446
254.2; 19.846; 1.370; -1.146; 1.786
257.3; 20.086; 0.066; 2.935; 2.935
260.4; 20.326; 0.196; 3.730; 3.735
263.5; 20.565; 0.119; 3.768; 3.770
266.6; 20.803; 0.152; 3.702; 3.706
269.7; 21.042; 0.190; 3.662; 3.667
272.8; 21.281; 0.221; 3.592; 3.599
275.9; 21.520; 0.241; 3.319; 3.328
279.0; 21.756; 1.118; 1.581; 1.936
282.1; 21.994; -1.171; -2.261; 2.546
285.2; 22.235; -0.929; -3.431; 3.554
288.3; 22.481; -0.672; -3.638; 3.699
291.4; 22.728; 0.151; -3.659; 3.662
294.5; 22.975; 0.169; -3.631; 3.635
297.6; 23.222; 0.180; -3.649; 3.653
300.7; 23.470; 0.211; -3.465; 3.471
303.8; 23.715; 1.254; -1.370; 1.857
306.9; 23.955; 0.498; 2.839; 2.882
310.0; 24.194; 0.208; 3.722; 3.728
313.1; 24.433; 0.119; 3.770; 3.772
316.2; 24.671; 0.151; 3.701; 3.704
319.3; 24.909; 0.186; 3.662; 3.667
322.4; 25.147; 0.217; 3.602; 3.609
325.5; 25.386; 0.236; 3.365; 3.373
328.6; 25.623; 0.897; 1.945; 2.142
331.7; 25.861; -1.270; -1.973; 2.347
334.8; 26.104; -0.974; -3.374; 3.512
337.9; 26.351; -0.684; -3.641; 3.704
341.0; 26.600; 0.147; -3.670; 3.673
344.1; 26.848; 0.167; -3.636; 3.639
347.2; 27.097; 0.181; -3.644; 3.649
