# 6034230a-71ef-43ca-a72d-1a157a6d4e2e
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -12.4397433; 140.0605039; -1.5439533; -0.0107957; 15.6908683; -1.9345694
1.9987207; -10.4416704; 140.0947812; -1.5622323; -0.0074934; 15.4424746; -2.0708641
3.9974413; -8.4432204; 140.0990788; -1.5740931; -0.0046163; 15.1720751; -2.2334861
5.9961620; -6.4441416; 140.0848216; -1.5809852; -0.0022816; 14.8749331; -2.2849491
7.9948827; -4.4458485; 140.0606239; -1.5846023; -0.0014919; 14.5646724; -2.2593575
9.9936034; -2.4469679; 140.0304332; -1.5870616; -0.0011428; 14.2512468; -2.2327085
11.9923240; -0.4484913; 139.9955394; -1.5894992; -0.0012967; 13.9345941; -2.2810842
13.9910447; 1.5503377; 139.9563024; -1.5906446; 0.0005703; 13.6034706; -2.1623226
15.9897654; 3.5486716; 139.9194072; -1.5868876; 0.0038746; 13.2819673; -1.8336847
17.9884860; 5.5473710; 139.8991006; -1.5729602; 0.0100700; 13.0030999; -1.3503682
19.9872067; 7.5460191; 139.9190922; -1.5464863; 0.0164796; 12.7938497; -1.0798973
21.9859274; 9.5421339; 140.0048538; -1.5071232; 0.0225266; 12.6240154; -0.7640036
23.9846480; 11.5329471; 140.1790460; -1.4588259; 0.0258035; 12.5024680; -0.3012629
25.9833687; 13.5119148; 140.4545473; -1.4065864; 0.0247252; 12.4542131; 0.0513152
27.9820894; 15.4758869; 140.8273689; -1.3611379; 0.0205111; 12.4624457; 0.8902992
29.9808101; 17.4228462; 141.2769632; -1.3297756; 0.0108835; 12.6044227; -0.2268776
31.9795307; 19.3604853; 141.7683969; -1.3195150; -0.0025593; 12.5683946; -1.3530666
33.9782514; 21.3006498; 142.2492491; -1.3419613; -0.0198913; 12.3513456; -0.7946517
35.9769721; 23.2562707; 142.6608407; -1.3855244; -0.0229152; 12.2220769; -0.4537522
37.9756927; 25.2294049; 142.9826518; -1.4331574; -0.0240770; 12.1476465; 0.0175741
39.9744134; 27.2148995; 143.2094216; -1.4808719; -0.0237096; 12.1505378; 0.0072388
41.9731341; 29.2103638; 143.3418559; -1.5281386; -0.0235770; 12.1517285; 0.0066614
43.9718547; 31.2076108; 143.3800259; -1.5754148; -0.0243622; 12.1528241; 0.0100681
45.9705754; 33.2049543; 143.3202636; -1.6269476; -0.0272001; 12.1544798; 0.0198843
47.9692961; 35.1946608; 143.1533804; -1.6818059; -0.0269780; 12.1577492; 0.0358274
49.9680168; 37.1743128; 142.8794392; -1.7342526; -0.0251846; 12.1636378; 0.0829186
51.9667374; 39.1373648; 142.5068384; -1.7814633; -0.0220988; 12.1772553; 1.1584649
53.9654581; 41.0831711; 142.0503954; -1.8165618; -0.0099455; 12.3659388; 1.6125788
55.9641788; 43.0212654; 141.5551661; -1.8199000; 0.0061164; 12.6238913; 0.6210801
57.9628994; 44.9633454; 141.0818000; -1.7959350; 0.0178777; 12.7218459; 0.3791590
59.9616201; 46.9212195; 140.6767542; -1.7520944; 0.0228823; 12.7812765; 0.1765920
61.9603408; 48.8936919; 140.3612097; -1.7069326; 0.0223588; 12.8088619; 0.0294727
63.9590614; 50.8810264; 140.1336624; -1.6628941; 0.0216735; 12.8134601; 0.0120616
65.9577821; 52.8742333; 139.9926310; -1.6200873; 0.0213562; 12.8153414; -0.0082898
67.9565028; 54.8710020; 139.9368485; -1.5773360; 0.0214391; 12.8140484; -0.0101910
69.9552235; 56.8693515; 139.9679104; -1.5323025; 0.0238523; 12.8124588; -0.0067434
71.9539441; 58.8623759; 140.0938390; -1.4827178; 0.0246475; 12.8114068; -0.0002005
73.9526648; 60.8486790; 140.3170186; -1.4359295; 0.0221443; 12.8113755; 0.0510833
75.9513855; 62.8213494; 140.6279895; -1.3934285; 0.0206163; 12.8193426; 0.5067780
77.9501061; 64.7823945; 141.0204164; -1.3542671; 0.0161926; 12.8981146; 1.7380604
79.9488268; 66.7292748; 141.4728656; -1.3349828; 0.0031484; 13.1646935; -0.3935283
81.9475475; 68.6737140; 141.9379878; -1.3410226; -0.0089567; 13.1048101; -1.1934802
83.9462681; 70.6261703; 142.3682621; -1.3704526; -0.0190598; 12.9215007; -0.8350302
85.9449888; 72.5928352; 142.7283382; -1.4091967; -0.0197347; 12.7916847; -0.7002838
87.9437095; 74.5731510; 143.0106131; -1.4494891; -0.0205381; 12.6817922; -0.5848215
89.9424302; 76.5591661; 143.2109252; -1.4913631; -0.0214913; 12.5892837; 0.0058954
91.9411508; 78.5568219; 143.3251674; -1.5367841; -0.0239082; 12.5902196; -0.0009745
93.9398715; 80.5529244; 143.3438688; -1.5867730; -0.0260046; 12.5900649; -0.0079666
95.9385922; 82.5492108; 143.2590193; -1.6402528; -0.0274350; 12.5888001; -0.0134472
97.9373128; 84.5356613; 143.0682450; -1.6915696; -0.0238154; 12.5866649; 0.0032548
99.9360335; 86.5143587; 142.7825344; -1.7359779; -0.0213864; 12.5871818; 0.0261983
101.9347542; 88.4798294; 142.4118624; -1.7782686; -0.0209319; 12.5913411; 1.3974182
103.9334749; 90.4273050; 141.9657723; -1.8091240; -0.0084330; 12.8112438; 0.7584277
105.9321955; 92.3693447; 141.4862574; -1.8120227; 0.0052266; 12.9290270; -1.1379021
107.9309162; 94.3147441; 141.0271275; -1.7888578; 0.0179751; 12.7519034; -0.1811434
109.9296369; 96.2758677; 140.6343934; -1.7474321; 0.0209939; 12.7234795; 0.1124804
111.9283575; 98.2497276; 140.3245333; -1.7056064; 0.0209553; 12.7411367; 0.0117387
113.9270782; 100.2362707; 140.0976004; -1.6633457; 0.0213293; 12.7429781; -0.0010996
115.9257989; 102.2300260; 139.9560330; -1.6193423; 0.0232121; 12.7428056; -0.0079010
117.9245195; 104.2255534; 139.9071363; -1.5704079; 0.0255045; 12.7415662; -0.0048806
119.9232402; 106.2226049; 139.9583878; -1.5201105; 0.0247796; 12.7408006; 0.0021586
121.9219609; 108.2134171; 140.1079505; -1.4722049; 0.0227658; 12.7411393; 0.0084693
