# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00565; 5.2; -3820.4; -926.4
3.1; 0.144; 0.00127; 0.0; -4290.6; -575.3
6.2; 0.291; -0.00255; 0.0; -4290.6; -572.9
9.3; 0.443; -0.00313; 0.0; -4290.6; -560.5
12.4; 0.600; 0.00400; 0.0; -4290.6; 18.7
15.5; 0.761; 0.02248; 6.6; -3013.8; 1564.6
18.6; 0.927; 0.04608; 24.2; -827.0; 3323.5
21.7; 1.096; 0.04352; 86.9; -230.1; 3938.5
24.8; 1.267; 0.01803; 191.3; -0.0; 3873.3
27.9; 1.439; -0.02668; 4290.4; -0.3; 1248.3
31.0; 1.609; -0.05970; 19.5; -1027.6; -3211.2
34.1; 1.778; -0.04609; 298.0; -0.0; -3886.4
37.2; 1.948; -0.02258; 199.4; -0.0; -3867.3
40.3; 2.118; -0.00615; 217.2; -0.0; -3806.0
43.4; 2.289; 0.00365; 250.8; -0.0; -3778.8
46.5; 2.461; 0.01320; 293.4; -0.0; -3688.0
49.6; 2.634; 0.02520; 392.7; -0.0; -3276.2
52.7; 2.807; 0.03897; 4290.6; -0.0; 362.3
55.8; 2.979; 0.05060; 1539.3; -0.0; 3079.7
58.9; 3.147; 0.04523; 475.8; -0.0; 3738.8
62.0; 3.315; 0.02960; 244.1; -0.0; 3857.3
65.1; 3.484; 0.01434; 199.2; -0.0; 3850.4
68.2; 3.653; 0.00155; 227.2; -0.0; 3810.6
71.3; 3.822; -0.01079; 276.8; -0.0; 3686.9
74.4; 3.993; -0.02360; 458.5; -0.0; 3205.8
77.5; 4.165; -0.03640; 4290.6; -0.0; -479.4
80.6; 4.334; -0.04847; 1625.4; -0.1; -3033.2
83.7; 4.500; -0.04469; 496.0; -0.2; -3733.2
86.8; 4.666; -0.02858; 263.5; -0.0; -3840.2
89.9; 4.833; -0.01348; 215.2; -0.0; -3815.9
93.0; 4.999; -0.00297; 221.6; -0.0; -3785.9
96.1; 5.167; 0.00471; 244.7; -0.0; -3750.7
99.2; 5.335; 0.01647; 323.6; -0.0; -3463.5
102.3; 5.505; 0.03886; 4290.6; -0.0; -25.4
105.4; 5.672; 0.05603; 415.3; -0.3; 3335.1
108.5; 5.837; 0.04157; 345.4; -0.0; 3838.6
111.6; 6.003; 0.02220; 209.5; -0.0; 3871.8
114.7; 6.169; 0.00674; 208.2; -0.0; 3836.9
117.8; 6.336; -0.00472; 245.9; -0.0; 3800.0
120.9; 6.503; -0.01564; 294.7; -0.0; 3699.6
124.0; 6.672; -0.02771; 376.2; -0.0; 3319.7
127.1; 6.841; -0.04071; 4290.6; -0.0; -92.6
130.2; 7.008; -0.05098; 717.0; -0.5; -3125.1
133.3; 7.173; -0.04194; 1.4; -92.2; -3758.6
136.4; 7.339; -0.02395; 242.7; -0.0; -3833.6
139.5; 7.505; -0.00974; 218.8; -0.0; -3794.1
142.6; 7.672; -0.00104; 227.1; -0.0; -3769.4
145.7; 7.839; 0.00472; 243.5; -0.0; -3757.2
148.8; 8.008; 0.01542; 304.0; -0.0; -3521.9
151.9; 8.177; 0.03842; 4290.6; -0.0; -315.5
155.0; 8.345; 0.05718; 1228.4; -0.2; 3306.4
158.1; 8.509; 0.04315; 349.0; -0.0; 3851.0
161.2; 8.674; 0.02332; 193.3; -0.0; 3911.5
164.3; 8.839; 0.00481; 211.4; -0.0; 3849.5
167.4; 9.004; -0.00899; 263.0; -0.0; 3772.0
170.5; 9.171; -0.01822; 303.9; -0.0; 3688.9
173.6; 9.338; -0.02792; 357.7; -0.0; 3382.5
176.7; 9.507; -0.03986; 4290.6; -0.0; 344.9
179.8; 9.673; -0.05014; 789.9; -0.6; -2997.0
182.9; 9.837; -0.04220; 49.5; -399.9; -3722.4
186.0; 10.002; -0.02459; 248.7; -0.0; -3833.8
189.1; 10.168; -0.01018; 219.5; -0.0; -3796.8
192.2; 10.334; -0.00131; 225.6; -0.0; -3773.6
195.3; 10.501; 0.00443; 240.9; -0.0; -3769.3
198.4; 10.669; 0.01475; 291.2; -0.0; -3577.6
201.5; 10.837; 0.03677; 4290.6; -0.0; -798.4
204.6; 11.004; 0.05642; 984.0; -0.3; 3183.2
207.7; 11.168; 0.04417; 377.7; -0.0; 3832.3
210.8; 11.333; 0.02370; 214.8; -0.0; 3878.2
213.9; 11.498; 0.00730; 206.4; -0.0; 3840.0
217.0; 11.663; -0.00431; 241.2; -0.0; 3806.1
220.1; 11.829; -0.01495; 288.6; -0.0; 3722.1
223.2; 11.996; -0.02656; 347.2; -0.0; 3421.7
226.3; 12.164; -0.03911; 4290.6; -0.0; 581.3
229.4; 12.330; -0.04988; 1145.3; -0.6; -2926.4
232.5; 12.493; -0.04274; 46.6; -418.7; -3708.1
235.6; 12.657; -0.02520; 254.6; -0.0; -3834.8
238.7; 12.822; -0.01054; 220.4; -0.0; -3799.5
241.8; 12.987; -0.00146; 224.6; -0.0; -3776.7
244.9; 13.153; 0.00434; 238.9; -0.0; -3775.7
248.0; 13.320; 0.01443; 285.9; -0.0; -3605.8
251.1; 13.488; 0.03568; 4290.6; -0.0; -1094.0
254.2; 13.654; 0.05561; 1012.6; -0.3; 3084.1
257.3; 13.818; 0.04502; 399.4; -0.0; 3822.6
260.4; 13.981; 0.02444; 219.6; -0.0; 3879.7
263.5; 14.145; 0.00772; 205.6; -0.0; 3841.4
266.6; 14.310; -0.00393; 237.8; -0.0; 3809.6
269.7; 14.475; -0.01431; 283.8; -0.0; 3737.3
272.8; 14.641; -0.02550; 335.1; -0.0; 3488.9
275.9; 14.808; -0.03794; 4290.6; -0.0; 1106.3
279.0; 14.974; -0.04957; 138.4; -0.7; -2792.8
282.1; 15.137; -0.04344; 46.0; -434.5; -3692.5
