# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 21.80; 0.01971; -0.10481; -0.09782; -0.01391
3.1; 0.144; 21.29; 0.01192; -0.03613; -0.05714; 0.00846
6.2; 0.291; 20.71; 0.00593; -0.03342; 0.02018; 0.02264
9.3; 0.443; 20.12; 0.00345; -0.05420; 0.10500; 0.02081
12.4; 0.600; 19.51; 0.00299; -0.05700; 0.15551; 0.00295
15.5; 0.761; 18.89; 0.00243; 0.02117; 0.13847; -0.02158
18.6; 0.927; 18.42; 0.00019; 0.22091; 0.05749; -0.03452
21.7; 1.096; 18.22; -0.00629; 0.46572; -0.04199; -0.02351
24.8; 1.267; 18.10; -0.02417; 0.57200; -0.11829; 0.00799
27.9; 1.439; 18.01; -0.04436; 0.52444; -0.13896; 0.05436
31.0; 1.609; 18.52; -0.02632; -0.08574; -0.06320; 0.06748
34.1; 1.778; 18.30; -0.00464; -0.52063; 0.02938; 0.02074
37.2; 1.948; 18.24; 0.01954; -0.56000; 0.04434; -0.02637
40.3; 2.118; 18.16; 0.03924; -0.52008; 0.01356; -0.05287
43.4; 2.289; 18.07; 0.05230; -0.48479; -0.02026; -0.06043
46.5; 2.461; 17.98; 0.06101; -0.47134; -0.02491; -0.05629
49.6; 2.634; 17.89; 0.06672; -0.43690; 0.00797; -0.05389
52.7; 2.807; 17.82; 0.06143; -0.27512; 0.03754; -0.06147
55.8; 2.979; 18.34; 0.02084; 0.23563; -0.00315; -0.04175
58.9; 3.147; 18.48; 0.00163; 0.43711; -0.03664; -0.00210
62.0; 3.315; 18.45; -0.01507; 0.51217; -0.01866; 0.02647
65.1; 3.484; 18.38; -0.03171; 0.51367; 0.01524; 0.04288
68.2; 3.653; 18.29; -0.04565; 0.49836; 0.03677; 0.04925
71.3; 3.822; 18.20; -0.05668; 0.48052; 0.03002; 0.05051
74.4; 3.993; 18.11; -0.06357; 0.43142; 0.00247; 0.05624
77.5; 4.165; 18.05; -0.05700; 0.24694; -0.00053; 0.06761
80.6; 4.334; 18.57; -0.01836; -0.22858; 0.06856; 0.04537
83.7; 4.500; 18.71; -0.00099; -0.42296; 0.11062; 0.00041
86.8; 4.666; 18.69; 0.01506; -0.50727; 0.07489; -0.03638
89.9; 4.833; 18.62; 0.03147; -0.50338; 0.00409; -0.05471
93.0; 4.999; 18.53; 0.04424; -0.47860; -0.04522; -0.05208
96.1; 5.167; 18.44; 0.05315; -0.46072; -0.03494; -0.04056
99.2; 5.335; 18.35; 0.05939; -0.44581; 0.02007; -0.04175
