# 69d80b89-d7a9-49ca-8cb7-e5ea6ea2b01d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -12.4392553; 140.0397199; -1.5413333; -0.0089563; 21.7982547; -3.5788340
1.9988823; -10.4412855; 140.0825192; -1.5565165; -0.0062349; 21.4675703; -3.7229704
3.9977646; -8.4427007; 140.1003183; -1.5666026; -0.0042887; 21.1180731; -3.8989891
5.9966470; -6.4433547; 140.1007890; -1.5741912; -0.0033042; 20.7457411; -3.9043447
7.9955293; -4.4447083; 140.0876046; -1.5805695; -0.0031624; 20.3660777; -3.8728072
9.9944116; -2.4456312; 140.0617872; -1.5867992; -0.0029786; 19.9823560; -3.8590483
11.9932939; -0.4470763; 140.0241473; -1.5923079; -0.0025337; 19.5925236; -3.8617848
13.9921762; 1.5516818; 139.9772708; -1.5952348; 0.0000489; 19.1944908; -3.5830508
15.9910585; 3.5499796; 139.9306535; -1.5917814; 0.0040685; 18.8176588; -2.8280599
17.9899409; 5.5487205; 139.9013579; -1.5768558; 0.0108741; 18.5148147; -1.6804805
19.9888232; 7.5476372; 139.9155053; -1.5483252; 0.0176572; 18.3324902; -1.1100823
21.9877055; 9.5439258; 140.0001334; -1.5063588; 0.0237767; 18.2110502; -0.7433366
23.9865878; 11.5345991; 140.1775774; -1.4567257; 0.0258852; 18.1292765; -0.6012349
25.9854701; 13.5132275; 140.4570719; -1.4044385; 0.0254028; 18.0628644; -0.3428489
27.9843524; 15.4759747; 140.8366330; -1.3558470; 0.0227090; 18.0248840; 2.9714456
29.9832348; 17.4202125; 141.2982340; -1.3240692; 0.0091062; 18.3514463; 0.8694377
31.9821171; 19.3567431; 141.7952218; -1.3200084; -0.0056595; 18.4459044; -1.2924829
33.9809994; 21.2985096; 142.2699965; -1.3473081; -0.0216461; 18.3053093; -0.3802786
35.9798817; 23.2568807; 142.6689771; -1.3924315; -0.0227013; 18.2637368; -0.3873254
37.9787640; 25.2322132; 142.9788294; -1.4379879; -0.0227020; 18.2212965; -0.4800772
39.9776463; 27.2186096; 143.1986868; -1.4830444; -0.0224179; 18.1685556; -0.5180939
41.9765287; 29.2143636; 143.3292799; -1.5278809; -0.0224496; 18.1114658; -0.5296409
43.9754110; 31.2116612; 143.3700951; -1.5730942; -0.0234517; 18.0529171; -0.5415506
45.9742933; 33.2093358; 143.3165781; -1.6231093; -0.0265848; 17.9928548; -0.5236881
47.9731756; 35.1998218; 143.1584078; -1.6769388; -0.0265447; 17.9345823; -0.4875050
49.9720579; 37.1812165; 142.8947916; -1.7287525; -0.0251929; 17.8801653; -0.3793078
51.9709403; 39.1463202; 142.5319687; -1.7774567; -0.0235805; 17.8377108; 1.8526907
53.9698226; 41.0933141; 142.0798138; -1.8161439; -0.0116449; 18.0441278; 2.7751278
55.9687049; 43.0309145; 141.5823257; -1.8224995; 0.0048186; 18.3489743; 0.8098293
57.9675872; 44.9714364; 141.1017603; -1.8004895; 0.0172169; 18.4369836; 0.2728960
59.9664695; 46.9273084; 140.6868715; -1.7574339; 0.0226995; 18.4665464; -0.1697912
61.9653518; 48.8982434; 140.3606660; -1.7122477; 0.0225592; 18.4481585; -0.4283629
63.9642342; 50.8844392; 140.1231210; -1.6675549; 0.0221280; 18.4016863; -0.4721316
65.9631165; 52.8772309; 139.9738644; -1.6235925; 0.0220316; 18.3503294; -0.5248140
67.9619988; 54.8740554; 139.9125416; -1.5793164; 0.0222860; 18.2930726; -0.5438375
69.9608811; 56.8726121; 139.9414454; -1.5324385; 0.0248423; 18.2335507; -0.5349056
71.9597634; 58.8657661; 140.0691884; -1.4807456; 0.0257196; 18.1748162; -0.5163590
73.9586457; 60.8515020; 140.2984108; -1.4318390; 0.0231897; 18.1179376; -0.3462171
75.9575281; 62.8227044; 140.6198250; -1.3867181; 0.0223090; 18.0797004; 0.5751172
77.9564104; 64.7802586; 141.0291587; -1.3437425; 0.0173545; 18.1431737; 3.0142852
79.9552927; 66.7225272; 141.5017321; -1.3262019; 0.0002535; 18.4722807; 1.5027318
81.9541750; 68.6646048; 141.9770784; -1.3390899; -0.0117069; 18.6341816; 0.7230980
83.9530573; 70.6173276; 142.4069852; -1.3722177; -0.0201779; 18.7115873; -0.1584028
85.9519396; 72.5850936; 142.7617264; -1.4127200; -0.0203758; 18.6946581; -0.3078651
87.9508220; 74.5667642; 143.0360958; -1.4538115; -0.0206734; 18.6617113; -0.4157127
89.9497043; 76.5537481; 143.2279192; -1.4954204; -0.0210968; 18.6171305; -0.5073525
91.9485866; 78.5520733; 143.3349556; -1.5399033; -0.0233586; 18.5625772; -0.5253804
93.9474689; 80.5483729; 143.3486004; -1.5887237; -0.0254625; 18.5059159; -0.5437592
95.9463512; 82.5446261; 143.2608151; -1.6412980; -0.0270683; 18.4470893; -0.5483953
97.9452336; 84.5311055; 143.0687479; -1.6917503; -0.0232868; 18.3875704; -0.5043577
99.9441159; 86.5101122; 142.7837305; -1.7352319; -0.0214265; 18.3326606; -0.4447882
101.9429982; 88.4757613; 142.4133618; -1.7792196; -0.0225801; 18.2840992; 2.5081820
103.9418805; 90.4223493; 141.9628664; -1.8119006; -0.0081291; 18.5562767; 2.0201613
105.9407628; 92.3637769; 141.4800376; -1.8120751; 0.0068149; 18.7726273; -0.1363792
107.9396451; 94.3098122; 141.0229562; -1.7871294; 0.0181665; 18.7581002; -0.2550439
109.9385275; 96.2717265; 140.6333695; -1.7460720; 0.0206226; 18.7309028; -0.3307268
111.9374098; 98.2460246; 140.3252325; -1.7052821; 0.0203812; 18.6955757; -0.4841931
113.9362921; 100.2327167; 140.0979881; -1.6638608; 0.0210606; 18.6437351; -0.5233014
115.9351744; 102.2264914; 139.9550192; -1.6201690; 0.0231240; 18.5875449; -0.5457996
117.9340567; 104.2221656; 139.9043750; -1.5712870; 0.0255489; 18.5287573; -0.5564274
119.9329390; 106.2194135; 139.9541169; -1.5206718; 0.0250502; 18.4686323; -0.5395114
121.9318214; 108.2104350; 140.1032339; -1.4720865; 0.0230993; 18.4101478; -0.5232475
123.9307037; 110.1972853; 140.3445923; -1.4286672; 0.0204128; 18.3532482; -0.4113203
125.9295860; 112.1673919; 140.6685690; -1.3864615; 0.0218818; 18.3083958; 1.1675471
127.9284683; 114.1246501; 141.0778247; -1.3449808; 0.0153459; 18.4354261; 2.9589157
129.9273506; 116.0692734; 141.5455397; -1.3296462; 0.0000362; 18.7535060; 0.3909183
131.9262329; 118.0129615; 142.0152905; -1.3414377; -0.0115104; 18.7951266; -0.1313974
133.9251153; 119.9669802; 142.4404439; -1.3744516; -0.0190769; 18.7811472; -0.6370927
135.9239976; 121.9342934; 142.7925128; -1.4131870; -0.0197233; 18.7132184; -0.4835183
137.9228799; 123.9169896; 143.0667032; -1.4541762; -0.0214498; 18.6614991; -0.4585935
139.9217622; 125.9043990; 143.2550794; -1.4991445; -0.0236697; 18.6123132; -0.5160148
141.9206445; 127.9006823; 143.3493844; -1.5488079; -0.0259792; 18.5568126; -0.5378969
143.9195269; 129.8966424; 143.3411780; -1.6004925; -0.0248080; 18.4987813; -0.5478728
145.9184092; 131.8923201; 143.2341688; -1.6473507; -0.0223536; 18.4394860; -0.5546676
147.9172915; 133.8801178; 143.0374517; -1.6912832; -0.0216298; 18.3792604; -0.5015986
149.9161738; 135.8580826; 142.7546017; -1.7346421; -0.0222741; 18.3246266; -0.2033360
151.9150561; 137.8247425; 142.3832382; -1.7806201; -0.0224751; 18.3024329; 2.9272306
153.9139384; 139.7706755; 141.9330988; -1.8107177; -0.0077418; 18.6193832; 1.7105469
155.9128208; 141.7129119; 141.4518200; -1.8121005; 0.0060111; 18.8021221; 0.5229184
157.9117031; 143.6586779; 140.9943181; -1.7869759; 0.0191647; 18.8576324; -0.2448136
159.9105854; 145.6219972; 140.6037544; -1.7473918; 0.0196949; 18.8316646; -0.3723020
161.9094677; 147.5970541; 140.2914076; -1.7075104; 0.0210361; 18.7921051; -0.5045184
163.9083500; 149.5808525; 140.0632802; -1.6618232; 0.0247723; 18.7383636; -0.5433156
165.9072323; 151.5754619; 139.9322694; -1.6106770; 0.0258614; 18.6803164; -0.5493412
167.9061147; 153.5701167; 139.9041826; -1.5592798; 0.0250597; 18.6214415; -0.5468111
169.9049970; 155.5674761; 139.9753902; -1.5119883; 0.0222202; 18.5626524; -0.5334919
171.9038793; 157.5573675; 140.1356496; -1.4691878; 0.0210717; 18.5051152; -0.5090932
173.9027616; 159.5435995; 140.3802273; -1.4274563; 0.0209696; 18.4500421; -0.4438329
