# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -2.201; 0.137; 2.206
3.1; 0.288; -2.170; 0.213; 2.181
6.2; 0.594; -2.173; 0.155; 2.178
9.3; 0.923; -2.198; 0.000; 2.198
12.4; 1.280; -2.127; -0.241; 2.140
15.5; 1.671; -2.059; -0.438; 2.105
18.6; 2.113; -2.108; -0.240; 2.121
21.7; 2.626; -1.853; 0.517; 1.924
24.8; 3.220; -1.120; 3.561; 3.733
27.9; 3.897; -1.582; 3.224; 3.591
31.0; 4.830; -1.132; 1.574; 1.938
34.1; 5.794; 1.663; -0.463; 1.726
37.2; 6.659; -0.781; -2.251; 2.383
40.3; 7.480; -0.147; -2.623; 2.627
43.4; 8.157; 1.879; -0.319; 1.906
46.5; 8.713; 1.206; 1.639; 2.035
49.6; 9.223; 0.127; 3.274; 3.277
52.7; 9.726; -0.235; 3.830; 3.837
55.8; 10.226; -0.069; 3.779; 3.779
58.9; 10.710; 0.654; 2.822; 2.897
62.0; 11.162; 1.093; 2.160; 2.421
65.1; 11.579; 1.389; 1.625; 2.138
68.2; 11.964; 1.696; 0.854; 1.899
71.3; 12.319; 1.881; 0.211; 1.893
74.4; 12.649; 1.927; 0.000; 1.927
77.5; 12.959; 1.922; 0.000; 1.922
80.6; 13.252; 1.918; -0.000; 1.918
83.7; 13.531; 1.910; -0.018; 1.910
86.8; 13.807; -1.224; -0.105; 1.229
89.9; 14.096; -2.210; -0.046; 2.211
93.0; 14.403; -2.209; -0.000; 2.209
96.1; 14.734; -2.178; -0.079; 2.180
99.2; 15.093; -2.108; -0.308; 2.130
102.3; 15.488; -2.073; -0.392; 2.110
105.4; 15.934; -2.139; -0.103; 2.142
108.5; 16.455; -1.816; 0.594; 1.910
111.6; 17.059; -1.154; 3.522; 3.706
114.7; 17.741; -1.541; 3.303; 3.645
117.8; 18.451; -0.101; 3.304; 3.306
120.9; 19.079; 0.632; 2.976; 3.043
124.0; 19.631; 0.874; 2.474; 2.624
127.1; 20.134; 0.639; 2.733; 2.807
130.2; 20.614; 0.149; 3.336; 3.339
133.3; 21.085; 0.183; 3.346; 3.351
136.4; 21.535; 0.871; 2.563; 2.707
139.5; 21.951; 1.478; 1.456; 2.074
142.6; 22.332; 1.845; 0.368; 1.882
145.7; 22.684; 1.848; -0.326; 1.877
148.8; 23.032; -1.404; -0.681; 1.561
151.9; 23.409; -2.115; -0.271; 2.132
155.0; 23.827; -2.165; -0.010; 2.165
158.1; 24.301; -2.035; -0.323; 2.061
161.2; 24.848; -1.146; -3.218; 3.416
164.3; 25.457; -1.186; -3.458; 3.655
167.4; 26.076; -0.016; -3.368; 3.368
170.5; 26.645; 0.383; -3.093; 3.117
173.6; 27.217; -1.046; -3.459; 3.614
176.7; 27.819; -0.630; -3.083; 3.146
179.8; 28.392; 0.911; -1.712; 1.940
182.9; 28.982; -1.463; -2.831; 3.187
186.0; 29.756; -2.605; -1.809; 3.171
189.1; 30.744; -0.464; -1.896; 1.952
192.2; 31.814; -1.270; -1.277; 1.801
195.3; 32.928; 0.498; -1.585; 1.661
198.4; 33.974; 0.405; 1.598; 1.648
201.5; 34.951; -0.791; 2.674; 2.789
204.6; 35.792; -0.075; 3.102; 3.103
207.7; 36.473; 0.993; 2.669; 2.848
210.8; 37.036; 1.748; 0.113; 1.752
213.9; 37.594; -1.529; -1.336; 2.030
217.0; 38.257; -1.506; -1.690; 2.264
220.1; 39.245; -2.749; -1.181; 2.992
223.2; 40.770; 0.289; -1.623; 1.648
226.3; 41.956; -0.107; -2.570; 2.572
229.4; 42.768; 0.794; -2.880; 2.987
232.5; 43.424; 1.263; 1.521; 1.977
235.6; 44.019; -0.054; 3.323; 3.323
238.7; 44.588; 0.001; 3.414; 3.414
241.8; 45.163; -0.644; 3.666; 3.722
244.9; 45.740; -0.187; 3.814; 3.819
248.0; 46.272; 1.016; 2.514; 2.711
251.1; 46.746; 1.228; 0.391; 1.288
254.2; 47.240; -2.077; -0.262; 2.093
257.3; 47.820; -1.267; 3.231; 3.470
260.4; 48.477; -1.479; 3.560; 3.855
263.5; 49.206; -1.193; 3.176; 3.393
266.6; 49.914; 0.506; 2.899; 2.943
269.7; 50.520; 0.867; 2.667; 2.804
272.8; 51.063; 0.703; 2.566; 2.660
275.9; 51.559; 0.988; 2.396; 2.592
279.0; 52.011; 1.307; 1.802; 2.226
282.1; 52.429; 1.256; 1.849; 2.235
285.2; 52.820; 1.013; 2.296; 2.510
288.3; 53.206; -0.619; 3.296; 3.353
291.4; 53.601; -0.622; 3.593; 3.647
294.5; 54.003; 0.044; 3.694; 3.694
297.6; 54.404; 0.111; 3.649; 3.650
300.7; 54.795; 0.998; 2.250; 2.461
303.8; 55.161; 1.688; 0.862; 1.895
306.9; 55.501; 1.904; 0.107; 1.907
310.0; 55.820; 1.854; -0.286; 1.876
313.1; 56.120; 1.918; -0.011; 1.918
316.2; 56.412; 0.325; 2.204; 2.228
319.3; 56.706; -0.852; 3.510; 3.612
322.4; 57.003; 0.102; 3.723; 3.725
325.5; 57.299; 0.118; 3.722; 3.724
328.6; 57.595; 0.231; 3.304; 3.312
331.7; 57.883; 1.617; 0.922; 1.862
334.8; 58.159; 1.859; -0.227; 1.873
337.9; 58.423; 1.850; -0.247; 1.866
341.0; 58.685; -1.092; -0.056; 1.093
344.1; 58.958; -2.201; 0.137; 2.206
