# b6d42fb2-2f75-4883-ba2d-262b3a74095f
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0476060; -0.0675577; -2.8744992; -0.0023396; 11.0830014; -2.2159745
1.9974968; 0.5729504; -1.9988064; -2.8766346; 0.0002321; 10.6761471; -2.2042376
3.9949937; 1.0972493; -3.9233332; -2.8741412; 0.0015580; 10.2554474; -2.1946508
5.9924905; 1.6277319; -5.8480823; -2.8712490; 0.0013361; 9.8186855; -2.2653951
7.9899874; 2.1623419; -7.7714248; -2.8703667; -0.0005557; 9.3464617; -2.2019616
9.9874842; 2.6947744; -9.6953662; -2.8736522; -0.0030132; 8.8633810; -2.1361131
11.9849811; 3.2161552; -11.6249709; -2.8827530; -0.0060677; 8.3681399; -2.0972884
13.9824779; 3.7122670; -13.5533179; -2.8977778; -0.0089768; 7.8515674; -2.0512774
15.9799748; 4.1759165; -15.4969412; -2.9164155; -0.0055875; 7.3111060; -2.0543714
17.9774716; 4.6213376; -17.4449978; -2.9121355; 0.0096227; 6.7264456; -1.9045143
19.9749685; 5.1028661; -19.3719226; -2.8742170; 0.0300262; 6.1348633; -1.6648877
21.9724653; 5.7079493; -21.2973478; -2.7937783; 0.0478973; 5.5664469; -0.7887052
23.9699621; 6.5039167; -23.1722605; -2.6790480; 0.0702521; 5.2758373; -1.0663358
25.9674590; 7.5678208; -24.8774533; -2.4418928; 0.2159442; 4.8553531; -1.4337641
27.9649558; 9.1496680; -25.8927847; -1.7745377; 0.3801448; 4.2245208; -2.0279548
29.9624527; 11.0761791; -25.7047000; -1.2148744; 0.2433102; 3.1216837; -0.0555012
31.9599495; 12.7598699; -24.5757139; -0.7987454; 0.0976982; 3.0859653; 1.2923605
33.9574464; 14.1665609; -23.1353093; -0.8223559; -0.1288425; 3.8322518; -0.2336688
35.9549432; 15.9123463; -22.0370832; -1.2446627; -0.2884636; 3.7084564; 0.0227748
37.9524401; 17.7172954; -22.0373125; -1.9006714; -0.2708828; 3.7207034; 0.6167721
39.9499369; 19.5441662; -22.9931608; -2.1068429; 0.0159681; 4.0382712; 1.5637148
41.9474338; 21.2964529; -23.9478271; -2.0113624; 0.0807461; 4.7491752; 1.5427718
43.9449306; 23.1985947; -24.6022735; -1.7724819; 0.1304754; 5.3589205; 1.2083666
45.9424274; 25.1770687; -24.7716053; -1.5549752; 0.0855294; 5.7918431; 0.5756376
47.9399243; 27.1613438; -24.5844893; -1.3966843; 0.0850188; 5.9870790; 0.3118830
49.9374211; 29.0853123; -24.0648809; -1.2133793; 0.0950542; 6.0902451; 0.0925750
51.9349180; 30.8846536; -23.1919817; -1.0246898; 0.0956128; 6.1205328; 0.1451890
53.9324148; 32.4819861; -21.9922039; -0.8274533; 0.0988803; 6.1677347; 0.2602209
55.9299117; 33.8042442; -20.5163450; -0.6355304; 0.0916956; 6.2514424; 0.8097090
57.9274085; 34.8501178; -18.8226146; -0.4801852; 0.0637676; 6.5050222; 1.0531959
59.9249054; 35.6717717; -17.0082935; -0.3775680; 0.0414148; 6.8207643; 1.2393129
61.9224022; 36.3447666; -15.1168869; -0.3117134; 0.0248941; 7.1745294; 1.4128415
63.9198991; 36.9174596; -13.2045440; -0.2742134; 0.0129053; 7.5576561; 1.5616998
65.9173959; 37.4409225; -11.2728956; -0.2572255; 0.0062706; 7.9597202; 1.7131415
67.9148927; 37.9382678; -9.3397011; -0.2472290; 0.0037356; 8.3786118; 1.8363739
69.9123896; 38.4215475; -7.4005016; -0.2419841; 0.0015250; 8.8055345; 1.8950483
71.9098864; 38.8985543; -5.4609919; -0.2408299; 0.0001240; 9.2254075; 1.9275638
73.9073833; 39.3747090; -3.5215729; -0.2407207; -0.0000149; 9.6337298; 1.9077750
75.9048801; 39.8511500; -1.5809668; -0.2407728; -0.0000132; 10.0214918; 1.9316646
77.9023770; 40.3273405; 0.3584016; -0.2407682; 0.0000175; 10.3993887; 1.9221735
79.8998738; 40.8035899; 2.2983017; -0.2407036; 0.0000473; 10.7622654; 1.9149120
81.8973707; 41.2799115; 4.2386869; -0.2408773; -0.0003370; 11.1119943; 1.3854121
83.8948675; 41.7572427; 6.1775095; -0.2420903; -0.0008433; 11.3583067; -1.2370270
85.8923644; 42.2380091; 8.1165929; -0.2440793; -0.0011481; 11.1386362; -1.8855082
87.8898612; 42.7228709; 10.0538761; -0.2462693; -0.0008071; 10.7952129; -2.2146523
89.8873580; 43.2108245; 11.9904005; -0.2471674; -0.0001509; 10.3773359; -2.2471382
91.8848549; 43.6996545; 13.9265241; -0.2474453; -0.0001275; 9.9353811; -2.2144106
93.8823517; 44.1890925; 15.8621881; -0.2482034; -0.0010586; 9.4797279; -2.1611380
95.8798486; 44.6833477; 17.7992667; -0.2520051; -0.0027450; 9.0128524; -2.1383170
97.8773454; 45.1877387; 19.7290814; -0.2601898; -0.0054447; 8.5257812; -2.0826764
99.8748423; 45.7134344; 21.6553440; -0.2731658; -0.0069233; 8.0230086; -2.0280104
101.8723391; 46.2663021; 23.5771988; -0.2870737; -0.0069785; 7.5011184; -2.1312250
103.8698360; 46.8391244; 25.4857382; -0.2926615; 0.0024516; 6.9103218; -1.9875844
105.8673328; 47.4050774; 27.4054687; -0.2767317; 0.0151675; 6.3096878; -1.8099281
