# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00087; 0.0; -4290.6; 25.9
3.1; 0.216; 0.00274; 0.0; -4290.6; 117.9
6.2; 0.445; 0.00318; 0.0; -4290.6; 125.6
9.3; 0.690; 0.00118; 0.0; -4290.6; 50.0
12.4; 0.956; -0.00454; 0.0; -4290.6; -75.3
15.5; 1.246; -0.00192; 0.0; -4290.6; -67.0
18.6; 1.570; 0.02362; 0.0; -4290.6; -71.8
21.7; 1.947; 0.34722; 81.2; -246.3; 3777.1
24.8; 2.382; 0.46552; 65.6; -304.7; 3875.2
27.9; 2.859; 0.62149; 22.9; -872.1; 3242.3
31.0; 3.429; 0.22694; 9.0; -2214.9; 2115.7
34.1; 4.163; -0.34657; 276.9; -0.0; 705.6
37.2; 5.059; -0.34121; 2646.9; -0.0; -2665.4
40.3; 5.799; -0.01645; 3181.2; -0.0; -2301.7
43.4; 6.351; 0.13877; 4290.6; -0.0; 1158.6
46.5; 6.793; 0.20086; 1702.0; -0.0; 2675.8
49.6; 7.179; 0.22346; 727.8; -0.0; 3296.2
52.7; 7.556; 0.20838; 829.6; -0.0; 3281.2
55.8; 7.927; 0.16598; 1600.7; -0.0; 2908.2
58.9; 8.287; 0.11121; 2813.9; -0.0; 2297.7
62.0; 8.626; 0.06179; 4211.1; -0.0; 1530.3
65.1; 8.935; 0.03674; 4290.6; -0.0; 1034.8
68.2; 9.217; 0.01175; 4290.6; -0.0; 405.9
71.3; 9.478; -0.00195; 4290.6; -0.0; -50.4
74.4; 9.722; -0.00732; 4290.6; -0.0; -280.9
77.5; 9.952; -0.00717; 4290.6; -0.0; -311.7
80.6; 10.170; -0.00409; 4290.1; -0.9; -200.6
83.7; 10.378; -0.00014; 5.6; -2367.8; -28.6
86.8; 10.584; 0.00293; 0.0; -4290.6; 136.7
89.9; 10.800; 0.00337; 0.0; -4290.6; 160.8
93.0; 11.028; -0.00024; 0.0; -4290.6; 12.4
96.1; 11.273; -0.00868; 0.0; -4290.6; -236.8
99.2; 11.537; -0.01681; 0.0; -4290.6; -376.7
102.3; 11.827; -0.00008; 0.0; -4290.6; -170.6
105.4; 12.151; 0.06726; 0.0; -4290.6; -6.9
108.5; 12.529; 0.29829; 47.5; -421.4; 3537.7
111.6; 12.963; 0.39876; 80.5; -248.6; 3849.4
114.7; 13.421; 0.36897; 269.6; -0.0; 3632.6
117.8; 13.895; 0.20075; 2330.9; -0.0; 2815.0
120.9; 14.337; 0.14992; 2754.5; -0.0; 2275.5
124.0; 14.732; 0.15847; 2086.3; -0.0; 2552.2
127.1; 15.092; 0.17645; 1098.5; -0.0; 3083.0
130.2; 15.439; 0.16386; 1140.9; -0.0; 3099.6
133.3; 15.781; 0.11237; 2496.0; -0.0; 2452.5
136.4; 16.108; 0.05685; 4290.6; -0.0; 1490.6
139.5; 16.409; 0.01432; 4290.6; -0.0; 482.6
142.6; 16.684; -0.01118; 4290.6; -0.0; -324.0
145.7; 16.939; -0.01960; 1.3; -3907.2; -646.5
148.8; 17.195; -0.00767; 0.0; -4290.6; -296.1
151.9; 17.473; 0.00257; 0.0; -4290.6; -18.6
155.0; 17.779; -0.02745; 0.0; -4290.6; -61.5
158.1; 18.124; -0.21872; 27.1; -737.5; -3189.8
161.2; 18.513; -0.29747; 91.8; -217.9; -3798.8
164.3; 18.927; -0.26631; 325.7; -0.0; -3587.3
167.4; 19.346; -0.20557; 1582.6; -0.0; -2980.4
170.5; 19.746; -0.25944; 51.1; -391.3; -3349.6
173.6; 20.145; -0.25508; 0.0; -365.5; -3180.0
176.7; 20.557; -0.08773; 1652.3; -12.1; -2022.9
179.8; 20.958; -0.16337; 5.6; -3594.8; -91.4
182.9; 21.388; -0.49039; 8.5; -2344.4; -2209.6
186.0; 21.946; -0.61781; 0.0; -885.1; -1948.3
189.1; 22.641; -0.36103; 2594.0; -0.0; -2628.9
