# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 14.76; 0.00006; -0.01169; -0.07661; -0.01158
3.1; 0.216; 13.95; 0.00031; 0.00609; -0.07578; 0.01130
6.2; 0.445; 13.10; 0.00065; 0.02001; -0.00688; 0.03016
9.3; 0.690; 12.18; 0.00086; 0.02110; 0.10331; 0.03705
12.4; 0.956; 11.20; 0.00030; 0.00622; 0.20809; 0.02731
15.5; 1.246; 10.12; -0.00210; -0.02586; 0.24392; -0.00369
18.6; 1.570; 8.93; -0.00065; -0.00571; 0.16646; -0.04722
21.7; 1.947; 7.55; 0.01472; 0.10842; -0.02524; -0.11175
24.8; 2.382; 7.00; 0.16666; 1.05691; -0.14397; -0.15970
27.9; 2.859; 6.42; 0.18798; 1.36025; -0.18157; -0.24105
31.0; 3.429; 5.01; 0.15178; 1.37085; -0.32554; -0.06434
34.1; 4.163; 3.69; 0.07836; 0.14227; 0.25717; 0.22439
37.2; 5.059; 3.49; -0.35008; -0.91170; 0.15848; 0.14624
40.3; 5.799; 4.96; -0.15575; -0.52500; -0.14259; 0.04320
43.4; 6.351; 6.27; 0.03531; 0.17143; -0.02487; 0.00935
46.5; 6.793; 7.72; 0.07910; 0.49714; 0.11916; -0.07754
49.6; 7.179; 8.14; 0.10213; 0.73545; 0.09412; -0.12867
52.7; 7.556; 8.25; 0.10611; 0.84689; 0.03485; -0.11659
55.8; 7.927; 8.40; 0.09724; 0.79421; 0.01181; -0.09327
58.9; 8.287; 8.81; 0.07660; 0.63148; -0.01188; -0.07493
62.0; 8.626; 9.53; 0.04899; 0.43443; -0.05321; -0.05096
65.1; 8.935; 10.53; 0.02534; 0.25754; -0.08458; -0.02400
68.2; 9.217; 11.46; 0.01426; 0.17196; -0.06293; 0.00634
71.3; 9.478; 12.32; 0.00392; 0.05601; -0.00383; 0.01827
74.4; 9.722; 13.12; -0.00084; -0.01294; 0.04852; 0.01449
77.5; 9.952; 13.87; -0.00229; -0.04385; 0.07246; 0.00501
