# 88464c1b-2aea-4e78-a499-17683328e005
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0709449; -0.0609117; -2.8753449; -0.0042495; 14.7636511; -3.8245989
1.9979531; 0.5914303; -1.9940261; -2.8807854; -0.0011496; 14.2366659; -3.7962340
3.9959063; 1.1055942; -3.9217730; -2.8803817; 0.0009647; 13.6935482; -3.7716542
5.9938594; 1.6236888; -5.8502808; -2.8776174; 0.0018023; 13.1317205; -3.8339426
7.9918125; 2.1481775; -7.7767940; -2.8739761; 0.0017901; 12.5348318; -3.7725707
9.9897656; 2.6794406; -9.7014546; -2.8708772; 0.0007462; 11.9183543; -3.7217252
11.9877188; 3.2140087; -11.6280329; -2.8717785; -0.0016325; 11.2772118; -3.7465265
13.9856719; 3.7418558; -13.5495135; -2.8750213; -0.0012941; 10.5926737; -3.6427119
15.9836250; 4.2661370; -15.4776575; -2.8771069; -0.0012182; 9.8817408; -3.5847980
17.9815782; 4.7854440; -17.4074777; -2.8807285; -0.0023838; 9.1282137; -3.5754224
19.9795313; 5.2971549; -19.3253008; -2.8759385; 0.0108854; 8.3088647; -3.1459233
21.9774844; 5.8604424; -21.2672192; -2.8371041; 0.0289146; 7.5144140; -1.2255163
23.9754375; 6.5573903; -23.1832307; -2.7306474; 0.0822014; 7.1811816; -1.3181040
25.9733907; 7.5700242; -24.9073910; -2.4368668; 0.2449444; 6.8045829; -1.5707007
27.9713438; 9.1732058; -25.8965603; -1.7611655; 0.3648572; 6.3266086; -2.7341974
29.9692969; 11.1042660; -25.6932902; -1.2085450; 0.2436330; 5.3944768; -2.1071426
31.9672501; 12.7782960; -24.5595182; -0.7975114; 0.0951540; 4.5475747; -1.6377707
33.9652032; 14.1861668; -23.1181055; -0.8223067; -0.1267426; 3.7597948; -0.3588845
35.9631563; 15.9316130; -22.0121021; -1.2416105; -0.2942795; 3.5639849; 0.7580701
37.9611094; 17.7298823; -22.0237645; -1.9137819; -0.2704339; 3.9662533; 2.3075778
39.9590626; 19.5514806; -22.9978223; -2.1096687; 0.0224789; 4.9952007; 2.1076763
41.9570157; 21.3053410; -23.9513541; -2.0091616; 0.0798025; 5.7770327; 2.5579091
43.9549688; 23.2072212; -24.6085883; -1.7792171; 0.1256564; 6.6026716; 3.1793651
45.9529220; 25.1844073; -24.7953415; -1.5629770; 0.0892077; 7.5033137; 1.6163256
47.9508751; 27.1683258; -24.6151866; -1.3966384; 0.0868858; 7.9220201; 0.9311624
49.9488282; 29.0942894; -24.0943266; -1.2140454; 0.0937896; 8.1534803; 0.2799252
51.9467813; 30.8948029; -23.2218208; -1.0233624; 0.0989202; 8.2217878; 0.3780111
53.9447345; 32.4849707; -22.0140398; -0.8190256; 0.0999147; 8.3131397; 0.5285722
55.9426876; 33.7973914; -20.5279337; -0.6318170; 0.0871648; 8.4392190; 1.1556806
57.9406407; 34.8429976; -18.8334623; -0.4822652; 0.0622759; 8.7085250; 1.7593785
59.9385938; 35.6700146; -17.0215950; -0.3810314; 0.0411962; 9.1032258; 2.2600984
61.9365470; 36.3496667; -15.1317456; -0.3147319; 0.0255147; 9.5864415; 3.1732602
63.9345001; 36.9265599; -13.2202545; -0.2752151; 0.0142962; 10.2264320; 3.2411772
65.9324532; 37.4488589; -11.2878770; -0.2546157; 0.0085694; 10.8411878; 3.2985866
67.9304064; 37.9361082; -9.3516333; -0.2389118; 0.0071518; 11.4329434; 3.2190234
69.9283595; 38.3977895; -7.4067521; -0.2286594; 0.0029675; 11.9822832; 3.2692119
71.9263126; 38.8475914; -5.4602459; -0.2266993; -0.0003977; 12.5155333; 3.2662741
73.9242657; 39.2984843; -3.5143232; -0.2292863; -0.0021963; 13.0265229; 3.2314134
75.9222189; 39.7577094; -1.5691337; -0.2345867; -0.0029155; 13.5130576; 3.2666001
77.9201720; 40.2279438; 0.3721214; -0.2408239; -0.0031252; 13.9877001; 3.2474671
