# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -3.764; 0.194; 3.769
3.1; 0.213; -3.751; 0.460; 3.779
6.2; 0.440; -3.736; 0.360; 3.753
9.3; 0.682; -3.721; -0.138; 3.724
12.4; 0.942; -3.711; -0.698; 3.776
15.5; 1.227; -3.698; -0.720; 3.767
18.6; 1.545; -3.678; -0.187; 3.683
21.7; 1.910; -3.448; 0.485; 3.482
24.8; 2.334; -2.154; 3.077; 3.756
27.9; 2.808; -2.145; 7.299; 7.607
31.0; 3.450; -4.076; 0.795; 4.153
34.1; 4.339; -2.467; 4.124; 4.806
37.2; 5.257; 2.286; 2.156; 3.142
40.3; 5.996; -0.239; -6.168; 6.172
43.4; 6.562; 2.339; -4.684; 5.236
46.5; 7.010; 3.312; 2.021; 3.880
49.6; 7.402; 0.702; 5.437; 5.482
52.7; 7.782; -0.385; 6.745; 6.756
55.8; 8.156; -0.260; 6.725; 6.730
58.9; 8.517; 0.584; 5.959; 5.988
62.0; 8.857; 1.836; 4.687; 5.034
65.1; 9.166; 3.152; 3.111; 4.429
68.2; 9.449; 3.248; 2.118; 3.878
71.3; 9.710; 3.273; 0.854; 3.383
74.4; 9.953; 3.267; -0.076; 3.268
77.5; 10.183; 3.253; -0.560; 3.301
80.6; 10.401; 3.240; -0.641; 3.303
83.7; 10.609; 3.229; -0.427; 3.257
86.8; 10.816; -2.171; -0.077; 2.173
89.9; 11.031; -3.748; 0.271; 3.757
93.0; 11.260; -3.734; 0.332; 3.748
96.1; 11.504; -3.719; 0.032; 3.719
99.2; 11.769; -3.706; -0.484; 3.738
102.3; 12.058; -3.696; -0.775; 3.777
105.4; 12.383; -3.677; -0.352; 3.694
108.5; 12.760; -3.578; -0.015; 3.578
111.6; 13.194; -1.780; 7.285; 7.499
114.7; 13.653; -2.202; 7.926; 8.227
117.8; 14.127; -1.543; 7.480; 7.637
120.9; 14.569; 0.792; 5.796; 5.850
124.0; 14.963; 1.670; 4.685; 4.974
127.1; 15.324; 1.082; 5.255; 5.365
130.2; 15.671; 0.116; 6.348; 6.349
133.3; 16.012; 0.177; 6.382; 6.385
136.4; 16.339; 1.516; 5.050; 5.273
139.5; 16.640; 3.194; 3.069; 4.430
142.6; 16.916; 3.279; 0.994; 3.426
145.7; 17.171; 3.273; -0.667; 3.340
148.8; 17.427; -3.410; -1.331; 3.661
151.9; 17.704; -3.700; -0.610; 3.750
155.0; 18.011; -3.683; -0.038; 3.683
158.1; 18.356; -3.656; -0.127; 3.659
161.2; 18.745; -1.578; -6.568; 6.755
164.3; 19.158; -1.613; -7.822; 7.987
167.4; 19.578; -1.000; -7.387; 7.454
170.5; 19.978; 0.344; -6.137; 6.147
173.6; 20.377; -1.413; -6.897; 7.040
176.7; 20.788; -1.395; -6.548; 6.695
179.8; 21.190; 0.795; -4.165; 4.241
182.9; 21.620; -2.772; -0.188; 2.778
186.0; 22.178; -4.498; -4.550; 6.398
189.1; 22.873; -1.619; -4.012; 4.326
192.2; 23.530; 0.093; -5.413; 5.414
195.3; 24.249; -2.778; 2.912; 4.025
198.4; 25.156; 0.902; 2.562; 2.716
201.5; 25.921; -0.893; 4.973; 5.052
204.6; 26.539; -0.636; 5.939; 5.973
207.7; 27.057; 1.343; 5.336; 5.503
210.8; 27.484; 3.414; 0.919; 3.536
213.9; 27.900; -2.263; -1.205; 2.563
217.0; 28.385; -2.200; -1.712; 2.788
220.1; 29.055; -4.875; -3.320; 5.898
223.2; 30.079; -0.902; -4.155; 4.252
226.3; 30.946; -0.109; -4.387; 4.388
229.4; 31.547; 0.748; -5.948; 5.995
232.5; 32.029; 3.605; 0.174; 3.610
235.6; 32.454; -0.071; 6.085; 6.085
238.7; 32.864; -0.300; 6.603; 6.610
241.8; 33.274; -0.772; 7.053; 7.095
244.9; 33.686; -1.108; 7.486; 7.568
248.0; 34.074; 1.280; 5.452; 5.601
251.1; 34.425; 1.980; 1.763; 2.651
254.2; 34.792; -3.643; 0.077; 3.644
257.3; 35.215; -2.004; 6.268; 6.581
260.4; 35.670; -2.113; 7.841; 8.121
263.5; 36.147; -2.490; 7.691; 8.084
266.6; 36.622; -0.357; 6.456; 6.466
269.7; 37.053; 1.290; 5.430; 5.581
272.8; 37.445; 1.331; 4.785; 4.967
275.9; 37.803; 1.749; 4.788; 5.097
279.0; 38.129; 2.812; 3.522; 4.507
282.1; 38.427; 2.615; 3.695; 4.527
285.2; 38.706; 2.019; 4.427; 4.866
288.3; 38.976; -0.017; 6.823; 6.823
291.4; 39.247; -0.638; 7.832; 7.858
294.5; 39.521; -0.472; 7.921; 7.935
297.6; 39.799; -0.283; 7.759; 7.764
300.7; 40.069; 2.785; 3.510; 4.481
303.8; 40.321; 3.242; 1.992; 3.805
306.9; 40.557; 3.257; 0.738; 3.340
310.0; 40.780; 3.247; -0.477; 3.282
313.1; 40.993; 3.236; -0.027; 3.236
316.2; 41.198; 1.939; 3.977; 4.425
319.3; 41.403; -0.942; 7.271; 7.332
322.4; 41.608; -0.305; 7.817; 7.823
325.5; 41.815; -0.246; 7.692; 7.696
328.6; 42.022; 0.366; 6.409; 6.419
331.7; 42.224; 3.212; 2.003; 3.785
334.8; 42.417; 3.210; 0.287; 3.223
337.9; 42.607; 0.667; -0.187; 0.692
341.0; 42.800; -3.778; -0.147; 3.781
344.1; 43.003; -3.764; 0.194; 3.769
