# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00423; 0.0; -4290.6; 223.5
3.1; 0.213; 0.00332; 0.0; -4290.6; 174.7
6.2; 0.440; -0.00246; 0.0; -4290.6; -67.0
9.3; 0.682; -0.01141; 0.0; -4290.6; -338.7
12.4; 0.942; -0.01352; 0.0; -4290.6; -349.9
15.5; 1.227; 0.00307; 0.0; -4290.6; -91.0
18.6; 1.545; 0.07397; 4.9; -4108.1; 235.8
21.7; 1.910; 0.20931; 8.9; -2259.1; 1494.5
24.8; 2.334; 0.39175; 56.4; -354.7; 3544.7
27.9; 2.808; 0.49694; 0.0; -4290.6; 386.3
31.0; 3.450; 0.30721; 0.0; -687.5; 2002.7
34.1; 4.339; -0.32780; 1051.5; -0.0; 1046.8
37.2; 5.257; -0.33376; 2057.9; -0.0; -2995.3
40.3; 5.996; -0.02460; 3213.1; -0.0; -2275.0
43.4; 6.562; 0.13707; 4290.6; -0.0; 981.7
46.5; 7.010; 0.20274; 1754.1; -0.0; 2640.4
49.6; 7.402; 0.22599; 758.5; -0.0; 3275.9
52.7; 7.782; 0.20999; 859.1; -0.0; 3266.2
55.8; 8.156; 0.16603; 1635.5; -0.0; 2894.1
58.9; 8.517; 0.11031; 2858.7; -0.0; 2276.4
62.0; 8.857; 0.06105; 4245.5; -0.0; 1511.0
65.1; 9.166; 0.03658; 4290.6; -0.0; 1028.6
68.2; 9.449; 0.01206; 4290.6; -0.0; 414.6
71.3; 9.710; -0.00157; 4290.6; -0.0; -37.0
74.4; 9.953; -0.00710; 4290.6; -0.0; -271.7
77.5; 10.183; -0.00717; 4290.6; -0.0; -311.4
80.6; 10.401; -0.00423; 4290.3; -0.5; -207.3
83.7; 10.609; -0.00030; 5.7; -2347.1; -37.3
86.8; 10.816; 0.00285; 0.0; -4290.6; 131.6
89.9; 11.031; 0.00340; 0.0; -4290.6; 161.1
93.0; 11.260; -0.00015; 0.0; -4290.6; 15.4
96.1; 11.504; -0.00863; 0.0; -4290.6; -234.9
99.2; 11.769; -0.01682; 0.0; -4290.6; -376.6
102.3; 12.058; -0.00011; 0.0; -4290.6; -171.0
105.4; 12.383; 0.06727; 0.0; -4290.6; -7.1
108.5; 12.760; 0.29830; 47.5; -421.4; 3537.7
111.6; 13.194; 0.39876; 80.5; -248.6; 3849.4
114.7; 13.653; 0.36897; 269.7; -0.0; 3632.5
117.8; 14.127; 0.20075; 2330.9; -0.0; 2815.0
120.9; 14.569; 0.14992; 2754.5; -0.0; 2275.5
124.0; 14.963; 0.15847; 2086.3; -0.0; 2552.2
127.1; 15.324; 0.17645; 1098.5; -0.0; 3083.0
130.2; 15.671; 0.16386; 1140.9; -0.0; 3099.6
133.3; 16.012; 0.11237; 2496.0; -0.0; 2452.5
136.4; 16.339; 0.05685; 4290.6; -0.0; 1490.6
139.5; 16.640; 0.01432; 4290.6; -0.0; 482.6
142.6; 16.916; -0.01118; 4290.6; -0.0; -324.0
145.7; 17.171; -0.01960; 1.8; -3907.7; -646.5
148.8; 17.427; -0.00767; 0.0; -4290.6; -296.1
151.9; 17.704; 0.00257; 0.0; -4290.6; -18.6
155.0; 18.011; -0.02745; 0.0; -4290.6; -61.5
158.1; 18.356; -0.21872; 27.1; -737.5; -3189.8
161.2; 18.745; -0.29747; 91.8; -217.9; -3798.8
164.3; 19.158; -0.26631; 325.7; -0.0; -3587.3
167.4; 19.578; -0.20557; 1582.6; -0.0; -2980.4
170.5; 19.978; -0.25944; 51.1; -391.3; -3349.6
173.6; 20.377; -0.25508; 0.0; -365.5; -3180.0
176.7; 20.788; -0.08773; 1652.3; -12.1; -2022.9
179.8; 21.190; -0.16337; 5.6; -3594.8; -91.4
182.9; 21.620; -0.49039; 8.5; -2344.4; -2209.6
186.0; 22.178; -0.61781; 0.0; -885.1; -1948.3
189.1; 22.873; -0.36103; 2594.0; -0.0; -2628.9
192.2; 23.530; 0.16147; 0.0; -2921.6; 1414.0
195.3; 24.249; 0.56768; 1239.3; -0.0; 1244.1
198.4; 25.156; 0.68375; 2691.5; -0.0; 2415.1
201.5; 25.921; 0.45874; 1823.8; -0.0; 2884.5
204.6; 26.539; 0.14497; 2795.7; -0.0; 2591.6
207.7; 27.057; -0.04207; 4290.6; -0.0; 446.1
210.8; 27.484; -0.16492; 0.1; -2764.4; -585.0
213.9; 27.900; -0.25472; 7.6; -2643.6; -831.5
217.0; 28.385; -0.55793; 6.7; -2975.7; -1612.3
220.1; 29.055; -0.81481; 0.0; 0.0; -2017.9
223.2; 30.079; -0.60715; 3426.9; -0.0; -2130.5
226.3; 30.946; -0.18445; 2299.8; -0.0; -2888.7
229.4; 31.547; 0.13787; 4290.6; -0.0; 84.7
232.5; 32.029; 0.26546; 1161.3; -0.0; 2954.9
235.6; 32.454; 0.24804; 993.8; -0.0; 3206.8
238.7; 32.864; 0.26487; 532.9; -0.0; 3425.4
241.8; 33.274; 0.27604; 270.1; -0.0; 3635.7
244.9; 33.686; 0.14540; 2500.4; -0.0; 2648.0
248.0; 34.074; 0.01722; 2695.2; -7.2; 856.2
251.1; 34.425; -0.03046; 0.0; -4290.6; 37.2
254.2; 34.792; 0.22337; 17.7; -1130.6; 3044.0
257.3; 35.215; 0.39778; 106.1; -188.5; 3807.8
260.4; 35.670; 0.44756; 57.0; -350.9; 3734.9
263.5; 36.147; 0.31399; 1456.6; -0.0; 3135.5
266.6; 36.622; 0.15423; 2618.2; -0.0; 2636.8
269.7; 37.053; 0.17399; 2333.8; -0.0; 2323.8
272.8; 37.445; 0.12216; 2811.6; -0.0; 2325.1
275.9; 37.803; 0.07653; 3878.1; -0.0; 1710.5
279.0; 38.129; 0.07397; 3629.3; -0.0; 1794.4
282.1; 38.427; 0.07838; 2955.6; -0.0; 2149.9
285.2; 38.706; 0.11064; 732.7; -0.1; 3313.7
288.3; 38.976; 0.11709; 97.8; -0.1; 3803.4
291.4; 39.247; 0.09921; 210.2; -0.0; 3846.7
294.5; 39.521; 0.07697; 306.9; -0.0; 3767.9
297.6; 39.799; 0.03712; 3755.3; -0.0; 1704.7
300.7; 40.069; 0.02872; 4290.6; -0.0; 967.4
303.8; 40.321; 0.00890; 4290.6; -0.0; 358.6
306.9; 40.557; -0.00609; 4290.6; -0.0; -231.6
310.0; 40.780; -0.00006; 4290.6; -0.0; -13.0
313.1; 40.993; 0.04089; 2816.9; -0.8; 1931.6
316.2; 41.198; 0.06825; 38.5; -519.4; 3531.1
319.3; 41.403; 0.05617; 248.7; -0.0; 3796.3
322.4; 41.608; 0.03929; 221.2; -0.0; 3735.8
325.5; 41.815; 0.02007; 847.7; -0.0; 3112.4
