# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 14.92; 0.00043; 0.01617; -0.11142; -0.01046
3.1; 0.213; 14.12; 0.00065; 0.03435; -0.09677; 0.01851
6.2; 0.440; 13.27; 0.00051; 0.02540; -0.00160; 0.03977
9.3; 0.682; 12.37; -0.00092; -0.01708; 0.12382; 0.03938
12.4; 0.942; 11.40; -0.00402; -0.07091; 0.19662; 0.01089
15.5; 1.227; 10.35; -0.00528; -0.07127; 0.14724; -0.03532
18.6; 1.545; 9.18; 0.00248; 0.02553; -0.01726; -0.07365
21.7; 1.910; 7.87; 0.04248; 0.32712; -0.12628; -0.07021
24.8; 2.334; 6.94; 0.11709; 0.70358; -0.05117; -0.12697
27.9; 2.808; 6.50; 0.19807; 1.08994; -0.18157; -0.30796
31.0; 3.450; 3.90; 0.30527; 0.78523; -0.32554; -0.13172
34.1; 4.339; 3.30; 0.12929; 0.24420; 0.25717; 0.19733
37.2; 5.257; 3.66; -0.36713; -0.93428; 0.14547; 0.14546
40.3; 5.996; 4.79; -0.14311; -0.48910; -0.14259; 0.04829
43.4; 6.562; 6.16; 0.02951; 0.14644; -0.02487; 0.00729
46.5; 7.010; 7.63; 0.07971; 0.49195; 0.10516; -0.08239
49.6; 7.402; 8.07; 0.10382; 0.73588; 0.07340; -0.13119
52.7; 7.782; 8.19; 0.10815; 0.84782; 0.01733; -0.11595
55.8; 8.156; 8.36; 0.09859; 0.79324; 0.00369; -0.09098
58.9; 8.517; 8.78; 0.07683; 0.62737; -0.01188; -0.07293
62.0; 8.857; 9.51; 0.04863; 0.42883; -0.04996; -0.05036
65.1; 9.166; 10.53; 0.02505; 0.25399; -0.08220; -0.02449
68.2; 9.449; 11.46; 0.01422; 0.17126; -0.06293; 0.00554
71.3; 9.710; 12.31; 0.00404; 0.05770; -0.00559; 0.01779
74.4; 9.953; 13.11; -0.00071; -0.01080; 0.04646; 0.01450
77.5; 10.183; 13.86; -0.00222; -0.04253; 0.07124; 0.00536
80.6; 10.401; 14.57; -0.00193; -0.04473; 0.06894; -0.00224
83.7; 10.609; 15.24; -0.00095; -0.02770; 0.05414; -0.00421
86.8; 10.816; 14.79; 0.00013; -0.00302; 0.04631; -0.00031
89.9; 11.031; 13.98; 0.00061; 0.02220; 0.05960; 0.00776
93.0; 11.260; 13.13; 0.00068; 0.02519; 0.09770; 0.01504
96.1; 11.504; 12.22; -0.00022; -0.00138; 0.14422; 0.01411
99.2; 11.769; 11.24; -0.00322; -0.05326; 0.15577; -0.00313
102.3; 12.058; 10.16; -0.00703; -0.08957; 0.07728; -0.03688
105.4; 12.383; 8.97; 0.00118; 0.01285; -0.07627; -0.06357
108.5; 12.760; 7.57; 0.04033; 0.29517; -0.18484; -0.08615
111.6; 13.194; 7.13; 0.14617; 0.93884; -0.13144; -0.12251
114.7; 13.653; 6.71; 0.17569; 1.25039; -0.10441; -0.18641
117.8; 14.127; 6.62; 0.18313; 1.08235; -0.08156; -0.10135
120.9; 14.569; 7.43; 0.09336; 0.51827; 0.00848; -0.05530
124.0; 14.963; 8.24; 0.07413; 0.52051; 0.09838; -0.05209
127.1; 15.324; 8.77; 0.07665; 0.61367; 0.13042; -0.09139
130.2; 15.671; 8.98; 0.08038; 0.72644; 0.04091; -0.12157
133.3; 16.012; 9.21; 0.07222; 0.68583; -0.09379; -0.09773
136.4; 16.339; 9.82; 0.04813; 0.46195; -0.16771; -0.04425
139.5; 16.640; 10.82; 0.02257; 0.24102; -0.14072; 0.01154
142.6; 16.916; 11.72; 0.00478; 0.06012; -0.02657; 0.04297
145.7; 17.171; 12.56; -0.00442; -0.06433; 0.08464; 0.02687
148.8; 17.427; 11.69; -0.00641; -0.12209; 0.06643; -0.03084
151.9; 17.704; 10.66; -0.00223; -0.03634; -0.10198; -0.06413
155.0; 18.011; 9.53; 0.00165; 0.01776; -0.24333; -0.01138
158.1; 18.356; 8.26; -0.01593; -0.13360; -0.13736; 0.12524
161.2; 18.745; 7.81; -0.10406; -0.77733; 0.10640; 0.17335
164.3; 19.158; 7.52; -0.12843; -1.10922; 0.18391; 0.11072
167.4; 19.578; 7.50; -0.12479; -0.93369; 0.04809; 0.05221
170.5; 19.978; 7.96; -0.10047; -0.68399; -0.01315; 0.13231
173.6; 20.377; 7.68; -0.12423; -0.95054; 0.05680; 0.13194
