# 0cc894e1-ed63-4278-828d-8f78124d0a11
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0374708; -0.0704438; -2.8737768; -0.0022392; 14.9217013; -3.8277679
1.9979592; 0.5647247; -2.0016151; -2.8753864; 0.0006595; 14.4000598; -3.7996773
3.9959184; 1.0925234; -3.9256573; -2.8718928; 0.0019219; 13.8628468; -3.7754029
5.9938776; 1.6278315; -5.8495849; -2.8687939; 0.0011778; 13.3076038; -3.8357234
7.9918368; 2.1661694; -7.7724597; -2.8695850; -0.0021257; 12.7186902; -3.7767304
9.9897960; 2.6963425; -9.6973696; -2.8770949; -0.0051547; 12.1108866; -3.7288385
11.9877552; 3.2075088; -11.6301851; -2.8897788; -0.0075065; 11.4792613; -3.7491766
13.9857144; 3.6897821; -13.5626854; -2.9036390; -0.0059350; 10.8070365; -3.6468091
15.9836736; 4.1509550; -15.5072420; -2.9121461; 0.0000680; 10.1103751; -3.5892802
17.9816327; 4.6145745; -17.4513253; -2.8983558; 0.0134986; 9.3742848; -3.5053527
19.9795919; 5.1293200; -19.3724122; -2.8550706; 0.0312991; 8.5947723; -3.1844611
21.9775511; 5.7717627; -21.2844399; -2.7742532; 0.0466937; 7.8195438; -2.1407720
23.9755103; 6.5950176; -23.1458286; -2.6725408; 0.0574884; 7.2519594; -1.6207864
25.9734695; 7.6447195; -24.8707008; -2.4696378; 0.2083788; 6.7907573; -1.6009141
27.9714287; 9.1936775; -25.9043103; -1.7683578; 0.4013505; 6.3021633; -4.6802926
29.9693879; 11.1233557; -25.6879099; -1.1999283; 0.2396622; 4.5842333; -1.8564359
31.9673471; 12.7998330; -24.5383373; -0.7944279; 0.0925045; 3.6874149; -0.6261316
33.9653063; 14.2046449; -23.1006154; -0.8271839; -0.1339845; 3.3309245; 0.3465567
35.9632655; 15.9576002; -22.0136731; -1.2546054; -0.2957530; 3.5326859; 0.9628155
37.9612247; 17.7595693; -22.0445276; -1.9173790; -0.2619121; 4.0406933; 1.7749629
39.9591839; 19.5816272; -23.0154167; -2.1060136; 0.0213676; 4.8394017; 2.1530940
41.9571431; 21.3390153; -23.9645084; -2.0070288; 0.0792781; 5.6589219; 2.6067630
43.9551023; 23.2430286; -24.6190814; -1.7788421; 0.1239894; 6.5145844; 3.1850813
45.9530615; 25.2191246; -24.8072440; -1.5642659; 0.0893169; 7.4274581; 1.6097321
47.9510207; 27.2031204; -24.6279546; -1.3959708; 0.0879319; 7.8485344; 0.9609821
49.9489799; 29.1289001; -24.1036103; -1.2113554; 0.0946122; 8.0894684; 0.3082885
51.9469391; 30.9260503; -23.2249813; -1.0190774; 0.0997442; 8.1652553; 0.4092062
53.9448982; 32.5103714; -22.0091552; -0.8136376; 0.1000393; 8.2647776; 0.5660451
55.9428574; 33.8147857; -20.5163565; -0.6269113; 0.0866053; 8.4005011; 1.1886689
57.9408166; 34.8532825; -18.8171527; -0.4786824; 0.0614698; 8.6786083; 1.8037576
59.9387758; 35.6752249; -17.0032449; -0.3790789; 0.0404746; 9.0843773; 2.3070098
61.9367350; 36.3524274; -15.1126103; -0.3140709; 0.0249715; 9.5783367; 3.2022458
63.9346942; 36.9289953; -13.2008681; -0.2754218; 0.0139632; 10.2245023; 3.2544403
65.9326534; 37.4521674; -11.2687365; -0.2552160; 0.0084918; 10.8418137; 3.3002407
67.9306126; 37.9406261; -9.3328347; -0.2395211; 0.0072211; 11.4338277; 3.2180392
69.9285718; 38.4033747; -7.3881744; -0.2291259; 0.0030625; 11.9829645; 3.2685418
71.9265310; 38.8538694; -5.4418001; -0.2269183; -0.0002578; 12.5160803; 3.2677093
73.9244902; 39.3049260; -3.4959506; -0.2292524; -0.0020832; 13.0272700; 3.2307821
75.9224494; 39.7638840; -1.5506654; -0.2343527; -0.0028409; 13.5136859; 3.2661280
77.9204086; 40.2335609; 0.3907529; -0.2404914; -0.0030953; 13.9882410; 3.2485230
79.9183678; 40.7151011; 2.3298005; -0.2461675; -0.0025855; 14.4447818; 3.2370191
81.9163270; 41.2067221; 4.2668669; -0.2506925; -0.0018937; 14.8857846; 2.2958246
83.9142862; 41.7053456; 6.2008300; -0.2537113; -0.0011272; 15.1908035; -2.1935171
85.9122454; 42.2085811; 8.1346791; -0.2551860; -0.0003471; 14.8995099; -3.2380610
87.9102046; 42.7128791; 10.0674736; -0.2548839; 0.0007698; 14.4587817; -3.7559677
89.9081637; 43.2141835; 12.0010216; -0.2520590; 0.0019099; 13.9301051; -3.7954881
91.9061229; 43.7088595; 13.9361341; -0.2486058; 0.0015470; 13.3746540; -3.7635412
93.9040821; 44.1976751; 15.8724239; -0.2464192; 0.0002178; 12.8001002; -3.6938832
95.9020413; 44.6863586; 17.8113722; -0.2480559; -0.0018783; 12.2099185; -3.7564132
97.9000005; 45.1826942; 19.7438494; -0.2562176; -0.0062784; 11.5789373; -3.6868466
99.8979597; 45.7032568; 21.6719181; -0.2716536; -0.0075327; 10.9242597; -3.6165133
101.8959189; 46.2530136; 23.5952478; -0.2844007; -0.0052238; 10.2414920; -3.6711238
103.8938781; 46.8191902; 25.5061838; -0.2898231; 0.0000976; 9.4983497; -3.5792439
105.8918373; 47.3871935; 27.4255144; -0.2825086; 0.0110697; 8.7129949; -3.5964628
107.8897965; 47.9076604; 29.3548816; -0.2365368; 0.0348952; 7.8450691; -1.7976746
109.8877557; 48.2923822; 31.3718398; -0.1216803; 0.0890162; 7.3730420; -1.0467793
111.8857149; 48.2878519; 33.3214390; 0.1741673; 0.2318974; 7.0837069; -1.0788128
113.8836741; 47.4349298; 35.0741881; 0.7644181; 0.3208114; 6.7725959; -0.3622424
115.8816333; 45.8185391; 36.0864011; 1.1879109; 0.1256813; 6.6648754; 0.2528846
117.8795925; 43.8246919; 36.6744754; 1.3554319; 0.0558086; 6.7402574; 1.6725140
119.8775517; 41.8491999; 37.0000907; 1.4560512; 0.0456211; 7.2190235; 1.8410855
121.8755109; 39.8391101; 37.1408135; 1.5471864; 0.0493135; 7.7117525; 2.0066659
123.8734701; 37.8625498; 37.0823734; 1.6582947; 0.0638008; 8.2152054; 1.5010464
125.8714292; 35.8729454; 36.7682243; 1.8012930; 0.0782134; 8.5724944; 1.1343612
127.8693884; 33.9929138; 36.1603009; 1.9705348; 0.0922850; 8.8329199; 0.6345476
129.8673476; 32.2385942; 35.2151080; 2.1605377; 0.0955607; 8.9753036; 0.6859383
131.8653068; 30.6961405; 33.9790086; 2.3232134; 0.0691394; 9.1267206; 1.1759912
133.8632660; 29.3186561; 32.5193184; 2.4398221; 0.0472134; 9.3806286; 1.8305458
135.8612252; 28.0882930; 30.9369675; 2.5155038; 0.0290520; 9.7627304; 2.9730124
137.8591844; 26.9489601; 29.2821730; 2.5553512; 0.0102575; 10.3532999; 3.2885420
139.8571436; 25.8505484; 27.6142658; 2.5576095; -0.0043414; 10.9695745; 3.3184899
141.8551028; 24.7422523; 25.9531606; 2.5487873; -0.0044588; 11.5581997; 3.3389737
143.8530620; 23.6198907; 24.3046110; 2.5378780; -0.0072658; 12.1216437; 1.9606675
145.8510212; 22.4756454; 22.6750350; 2.5201340; -0.0085342; 12.4406155; -3.4840966
147.8489804; 21.3055615; 21.0605884; 2.5115451; -0.0001567; 11.8678873; -3.6168589
149.8469396; 20.1376861; 19.4510015; 2.5186564; 0.0070624; 11.2425119; -3.5743661
151.8448988; 18.9775594; 17.8040193; 2.5391345; 0.0118121; 10.5882576; -3.5704357
153.8428580; 17.8573426; 16.1427672; 2.5549528; 0.0041833; 9.8916141; -3.5887848
155.8408172; 16.7455337; 14.4671989; 2.5500937; -0.0154904; 9.1380271; -3.5640083
157.8387764; 15.5953581; 12.8515336; 2.4834328; -0.0527445; 8.3223826; -1.3918201
159.8367356; 14.2569294; 11.3675433; 2.3058562; -0.1286764; 7.9812563; -0.9881184
161.8346947; 12.6181315; 10.2774233; 2.0005975; -0.1550219; 7.7299426; -0.7104255
163.8326539; 10.6942400; 9.7244542; 1.7041916; -0.1446435; 7.5440844; -0.1299847
165.8306131; 8.6990096; 9.7271936; 1.4480542; -0.1087694; 7.5095807; 0.3162843
167.8285723; 6.7421841; 10.1709159; 1.2528854; -0.0949187; 7.5932633; 1.1576658
169.8265315; 4.9219425; 10.9772726; 1.0500558; -0.1087606; 7.8919951; -0.3198772
171.8244907; 3.3229102; 12.1614137; 0.8053142; -0.1409926; 7.8105943; -0.6776414
173.8224499; 2.1225322; 13.7230977; 0.5029967; -0.1379917; 7.6352854; -0.5631094
175.8204091; 1.3555803; 15.5671344; 0.3121152; -0.0576805; 7.4864841; 0.6966658
177.8183683; 0.8206308; 17.5026411; 0.2360379; -0.0272429; 7.6701541; 0.6071615
179.8163275; 0.3945687; 19.4620942; 0.1968035; -0.0169189; 7.8267127; -3.1955189
181.8142867; 0.0555611; 21.4369188; 0.1330735; -0.0472734; 6.9633612; -3.0866417
183.8122459; -0.0790993; 23.4637117; -0.0399575; -0.1663467; 6.0128555; -2.7921532
