# x_r, y_r, x_l, y_l
2.449293598294706414e-16,4.000000000000000000e+00,-2.449293598294706414e-16,-4.000000000000000000e+00
1.000000000000002554e-01,4.000000000000000000e+00,9.999999999999975575e-02,-4.000000000000000000e+00
2.000000000000002609e-01,4.000000000000000000e+00,1.999999999999997613e-01,-4.000000000000000000e+00
3.000000000000002665e-01,4.000000000000000000e+00,2.999999999999998224e-01,-4.000000000000000000e+00
4.000000000000002442e-01,4.000000000000000000e+00,3.999999999999998002e-01,-4.000000000000000000e+00
5.000000000000002220e-01,4.000000000000000000e+00,4.999999999999997780e-01,-4.000000000000000000e+00
6.000000000000003109e-01,4.000000000000000000e+00,5.999999999999998668e-01,-4.000000000000000000e+00
7.000000000000002887e-01,4.000000000000000000e+00,6.999999999999998446e-01,-4.000000000000000000e+00
8.000000000000002665e-01,4.000000000000000000e+00,7.999999999999998224e-01,-4.000000000000000000e+00
9.000000000000002442e-01,4.000000000000000000e+00,8.999999999999998002e-01,-4.000000000000000000e+00
1.000000000000001554e+00,4.000000000000000000e+00,1.000000000000001998e+00,-4.000000000000000000e+00
1.072074146497015601e+00,4.000251587254226138e+00,1.127924228880708535e+00,-3.999553458388930949e+00
1.144144780201810763e+00,4.001006336754898030e+00,1.255842222914973494e+00,-3.998213855319537657e+00
1.216208388493376980e+00,4.002264211716589415e+00,1.383747747560233332e+00,-3.995981256082174582e+00
1.288261459093112293e+00,4.004025150832248414e+00,1.511634568881664364e+00,-3.992855769490585516e+00
1.360300480236007914e+00,4.006289068276187137e+00,1.639496453856016611e+00,-3.988837547876578071e+00
1.432321940841804864e+00,4.009055853708263228e+00,1.767327170675403014e+00,-3.983926787082602061e+00
1.504322330686120646e+00,4.012325372279260449e+00,1.895120489051027812e+00,-3.978123726452210462e+00
1.576298140571531281e+00,4.016097464637452319e+00,2.022870180516842975e+00,-3.971428648818395857e+00
1.648245862498606051e+00,4.020371946936382557e+00,2.150570018733114264e+00,-3.963841880489788139e+00
1.720161989836880956e+00,4.025148610843812591e+00,2.278213779789884708e+00,-3.955363791234780990e+00
1.792043017495768442e+00,4.030427223551880545e+00,2.405795242510318843e+00,-3.945994794263480543e+00
1.863885442095389200e+00,4.036207527788453930e+00,2.533308188753914614e+00,-3.935735346207582808e+00
1.935685762137322907e+00,4.042489241829656521e+00,2.660746403719565834e+00,-3.924585947098105265e+00
2.007440478175265497e+00,4.049272059513608468e+00,2.788103676248463003e+00,-3.912547140341040119e+00
2.079146092985586058e+00,4.056555650255345924e+00,2.915373799126814269e+00,-3.899619512690840395e+00
