# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.999999999999998890e-01,-1.775381057445013511e-18,4.000000000000000000e+00,4.000000000000000000e+00
1.099999390762534945e+00,3.490657955614801574e-04,4.000000000000000000e+00,4.000000000000000000e+00
1.199993907675906968e+00,1.396246417909325493e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.299978677128904581e+00,3.141490564280099897e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.399948825984945966e+00,5.584713356219451336e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.499899481820302416e+00,8.725795635125471045e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.599825773161203113e+00,1.256458433762265223e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.699722829721412198e+00,1.710089235584252160e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.799585782639548048e+00,2.233449859887505148e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.899409764716403881e+00,2.826514798607967019e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.999189910652163116e+00,3.489255146511052036e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.098921357283529243e+00,4.221638602426764503e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.198599243820751781e+00,5.023629470876277842e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.298218712084533433e+00,5.895188663796790268e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.397774906742813350e+00,6.836273702450121337e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.497262975547408281e+00,7.846838719493423597e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.596678069570508285e+00,8.926834461212959648e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.696015343441005019e+00,1.007620828992613765e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.795269955580648613e+00,1.129490418654672534e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.894437068440022909e+00,1.258286275331481074e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.993511848734321301e+00,1.394002121669173366e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.092489467678912529e+00,1.536631343042030307e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.191365101224694190e+00,1.686166987874763434e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.290133930293206443e+00,1.842601767981398020e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.388791141011510355e+00,2.005928058920510848e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.487331924946809991e+00,2.176137900366743039e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.585751479340811176e+00,2.353222996498868236e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.684045007343799139e+00,2.537174716404093644e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.782207718248432826e+00,2.727984094498659973e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.880234827723238134e+00,2.925641830964911261e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.978121558045788042e+00,3.130138292204521222e-01,4.000000000000000000e+00,4.000000000000000000e+00
