# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.000000000000000222e-01,-1.003467315395390652e-71,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.300000000000000044e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.400000000000000133e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.800000000000000044e+00,2.818779827495379300e-66,4.000000000000000000e+00,4.000000000000000000e+00
1.900000000000000133e+00,-1.051982953156301090e-65,4.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.100000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.300000000000000266e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.600000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.800000000000000266e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.900000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.100000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.300000000000000266e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.600000000000000089e+00,1.112108105524675653e-55,4.000000000000000000e+00,4.000000000000000000e+00
3.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.800000000000000266e+00,1.548966770778436974e-54,4.000000000000000000e+00,4.000000000000000000e+00
3.900000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
