# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;6.435244820894693268e-61;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;1.000000000000000056e-01;0.000000000000000000e+00;-2.401666063072715954e-60;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;2.000000000000000111e-01;0.000000000000000000e+00;8.963139770201358149e-60;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;3.000000000000000444e-01;0.000000000000000000e+00;-3.345089301773276279e-59;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;4.000000000000000222e-01;0.000000000000000000e+00;1.248404323007295781e-58;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;5.000000000000000000e-01;0.000000000000000000e+00;-4.659108361851856954e-58;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;6.000000000000000888e-01;0.000000000000000000e+00;1.738802912440013575e-57;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;7.000000000000000666e-01;0.000000000000000000e+00;-6.489300813574865208e-57;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;8.000000000000000444e-01;0.000000000000000000e+00;2.421840034185944273e-56;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;9.000000000000000222e-01;-1.003467315395390652e-71;-9.038430055386290344e-56;1.644902969584583424e-68;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;1.000000000000000000e+00;0.000000000000000000e+00;3.373188018735924971e-55;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;1.100000000000000089e+00;0.000000000000000000e+00;-1.258890906940507030e-54;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.200000000000000178e+00;0.000000000000000000e+00;4.698244825888434610e-54;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.300000000000000044e+00;0.000000000000000000e+00;-1.753408839661322330e-53;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.400000000000000133e+00;0.000000000000000000e+00;6.543810876056450089e-53;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.500000000000000000e+00;0.000000000000000000e+00;-2.442183466456445345e-52;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.600000000000000089e+00;0.000000000000000000e+00;9.114352778220143048e-52;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.700000000000000178e+00;0.000000000000000000e+00;-3.401522764642413130e-51;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.800000000000000044e+00;2.818779827495379300e-66;1.269465578074761136e-50;-4.620598237447653533e-63;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.900000000000000133e+00;-1.051982953156301090e-65;-4.737710035834814448e-50;1.724430738351788073e-62;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;2.000000000000000000e+00;0.000000000000000000e+00;1.768137456526449286e-49;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;2.100000000000000089e+00;0.000000000000000000e+00;-6.598778822522316553e-49;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.200000000000000178e+00;0.000000000000000000e+00;2.462697783356280667e-48;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.300000000000000266e+00;2.300000000000000266e+00;0.000000000000000000e+00;-9.190913251172895494e-48;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.400000000000000355e+00;2.400000000000000355e+00;0.000000000000000000e+00;3.430095522133529645e-47;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000000e+00;2.500000000000000000e+00;0.000000000000000000e+00;-1.280129076341680168e-46;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.600000000000000089e+00;2.600000000000000089e+00;0.000000000000000000e+00;4.777506753153378550e-46;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.700000000000000178e+00;2.700000000000000178e+00;0.000000000000000000e+00;-1.782989793627182917e-45;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.800000000000000266e+00;2.800000000000000266e+00;0.000000000000000000e+00;6.654208499193394358e-45;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.900000000000000355e+00;2.900000000000000355e+00;0.000000000000000000e+00;-2.483384420314639825e-44;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000000e+00;3.000000000000000000e+00;0.000000000000000000e+00;9.268116831339200448e-44;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.100000000000000089e+00;3.100000000000000089e+00;0.000000000000000000e+00;-3.458908290504223316e-43;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.200000000000000178e+00;3.200000000000000178e+00;0.000000000000000000e+00;1.290882147888297481e-42;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.300000000000000266e+00;3.300000000000000266e+00;0.000000000000000000e+00;-4.817637762502767553e-42;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.400000000000000355e+00;3.400000000000000355e+00;0.000000000000000000e+00;1.797966890212277369e-41;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.500000000000000000e+00;3.500000000000000000e+00;0.000000000000000000e+00;-6.710103784598819465e-41;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.600000000000000089e+00;3.600000000000000089e+00;1.112108105524675653e-55;2.504244824818299590e-40;-1.822989047287338067e-52;4.000000000000000000e+00;0.000000000000000000e+00
3.700000000000000178e+00;3.700000000000000178e+00;0.000000000000000000e+00;-9.345968920813354955e-40;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.800000000000000266e+00;3.800000000000000266e+00;1.548966770778436974e-54;3.487963085843497871e-39;-2.539096193718438081e-51;4.000000000000000000e+00;0.000000000000000000e+00
3.900000000000000355e+00;3.900000000000000355e+00;0.000000000000000000e+00;-1.301725545129271145e-38;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00;4.858105871932715088e-38;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.100000000000000533e+00;4.100000000000000533e+00;0.000000000000000000e+00;-1.813069794260166594e-37;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.200000000000000178e+00;4.200000000000000178e+00;0.000000000000000000e+00;6.766468589847367724e-37;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.299999999999999822e+00;4.299999999999999822e+00;0.000000000000000000e+00;-2.525280456512930514e-36;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.400000000000000355e+00;4.400000000000000355e+00;0.000000000000000000e+00;9.424474967067023703e-36;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.500000000000000000e+00;4.500000000000000000e+00;0.000000000000000000e+00;-3.517261941175501663e-35;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.600000000000000533e+00;4.600000000000000533e+00;0.000000000000000000e+00;1.312660026799535987e-34;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.700000000000000178e+00;4.700000000000000178e+00;0.000000000000000000e+00;-4.898913913080574326e-34;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.800000000000000711e+00;4.800000000000000711e+00;0.000000000000000000e+00;1.828299562552283915e-33;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.900000000000000355e+00;4.900000000000000355e+00;0.000000000000000000e+00;-6.823306858901049489e-33;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;2.546492787305191438e-32;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.100000000000000533e+00;5.100000000000000533e+00;-8.440928368119324027e-47;-9.503640463330662446e-32;1.383653251655674998e-43;4.000000000000000000e+00;0.000000000000000000e+00
5.200000000000000178e+00;5.200000000000000178e+00;0.000000000000000000e+00;3.546806906601760504e-31;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.300000000000000711e+00;5.300000000000000711e+00;0.000000000000000000e+00;-1.323686358007397665e-30;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.400000000000000355e+00;5.400000000000000355e+00;0.000000000000000000e+00;4.940064741369393984e-30;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.500000000000000000e+00;5.500000000000000000e+00;0.000000000000000000e+00;-1.843657260747017652e-29;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.600000000000000533e+00;5.600000000000000533e+00;0.000000000000000000e+00;6.880622568851160076e-29;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.700000000000000178e+00;5.700000000000000178e+00;2.270103512206203655e-43;-2.567883301465762601e-28;-3.730817031418392970e-40;4.000000000000000000e+00;0.000000000000000000e+00
5.800000000000000711e+00;5.800000000000000711e+00;0.000000000000000000e+00;9.583470948977893817e-28;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.900000000000000355e+00;5.900000000000000355e+00;0.000000000000000000e+00;-3.576600049444581132e-27;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000000e+00;6.000000000000000000e+00;0.000000000000000000e+00;1.334805310288053228e-26;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.100000000000000533e+00;6.100000000000000533e+00;4.520028326526129944e-41;-4.981561236207796339e-26;-7.273371295712903956e-38;4.000000000000000000e+00;0.000000000000000000e+00
6.200000000000000178e+00;6.200000000000000178e+00;0.000000000000000000e+00;1.859143963454290082e-25;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.300000000000000711e+00;6.300000000000000711e+00;0.000000000000000000e+00;-6.938419730196437860e-25;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.400000000000000355e+00;6.400000000000000355e+00;0.000000000000000000e+00;2.589453495733136011e-24;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.500000000000000000e+00;6.500000000000000000e+00;0.000000000000000000e+00;-9.663972009912899707e-24;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.600000000000000533e+00;6.600000000000000533e+00;0.000000000000000000e+00;3.606643454391861490e-23;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.700000000000000178e+00;6.700000000000000178e+00;0.000000000000000000e+00;-1.346017661657610089e-22;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.800000000000000711e+00;6.800000000000000711e+00;0.000000000000000000e+00;5.023406301191275247e-22;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.900000000000000355e+00;6.900000000000000355e+00;0.000000000000000000e+00;-1.874760754310741496e-21;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000000e+00;7.000000000000000000e+00;0.000000000000000000e+00;6.996702387123838178e-21;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.100000000000000533e+00;7.100000000000000533e+00;0.000000000000000000e+00;-2.611204879418472256e-20;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.200000000000000178e+00;7.200000000000000178e+00;8.655431286329907369e-35;9.745149278961423053e-20;-1.418814983556241875e-31;4.000000000000000000e+00;0.000000000000000000e+00
7.300000000000000711e+00;7.300000000000000711e+00;0.000000000000000000e+00;-3.636939223642767676e-19;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.400000000000000355e+00;7.400000000000000355e+00;0.000000000000000000e+00;1.357324196667481549e-18;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.500000000000000000e+00;7.500000000000000000e+00;0.000000000000000000e+00;-5.065602864305649381e-18;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.600000000000000533e+00;7.600000000000000533e+00;1.679109052737307002e-32;1.890508726055511617e-17;-2.752427931362835866e-29;4.000000000000000000e+00;0.000000000000000000e+00
7.700000000000000178e+00;7.700000000000000178e+00;0.000000000000000000e+00;-7.055474617791510187e-17;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.800000000000000711e+00;7.800000000000000711e+00;0.000000000000000000e+00;2.633138974511052882e-16;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.900000000000000355e+00;7.900000000000000355e+00;0.000000000000000000e+00;-9.827008436265020697e-16;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00;3.667489477054903040e-15;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.099999999999999645e+00;8.099999999999999645e+00;0.000000000000000000e+00;-1.368725706459310753e-14;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.200000000000001066e+00;8.200000000000001066e+00;0.000000000000000000e+00;5.108153878131795857e-14;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.300000000000000711e+00;8.300000000000000711e+00;0.000000000000000000e+00;-1.906388980606772043e-13;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.400000000000000355e+00;8.400000000000000355e+00;0.000000000000000000e+00;7.114740534613902968e-13;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.500000000000000000e+00;8.500000000000000000e+00;0.000000000000000000e+00;-2.655257315784893550e-12;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.599999999999999645e+00;8.599999999999999645e+00;0.000000000000000000e+00;9.909555209678051628e-12;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.700000000000001066e+00;8.700000000000001066e+00;0.000000000000000000e+00;-3.698296352292940717e-11;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.800000000000000711e+00;8.800000000000000711e+00;0.000000000000000000e+00;1.380222988820136404e-10;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.900000000000000355e+00;8.900000000000000355e+00;0.000000000000000000e+00;-5.151062320054705993e-10;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000000e+00;9.000000000000000000e+00;0.000000000000000000e+00;1.922402629135056349e-09;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.099999999999999645e+00;9.099999999999999645e+00;0.000000000000000000e+00;-7.174504284601784448e-09;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.200000000000001066e+00;9.200000000000001066e+00;0.000000000000000000e+00;2.677561450833868091e-08;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.300000000000000711e+00;9.300000000000000711e+00;0.000000000000000000e+00;-9.992795376175539870e-08;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.400000000000000355e+00;9.400000000000000355e+00;0.000000000000000000e+00;3.729362003575502187e-07;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.500000000000000000e+00;9.500000000000000000e+00;0.000000000000000000e+00;-1.391816850190245175e-06;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.600000000000001421e+00;9.600000000000001421e+00;0.000000000000000000e+00;5.194331165224638058e-06;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.700000000000001066e+00;9.700000000000001066e+00;0.000000000000000000e+00;-1.938550829784290797e-05;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.800000000000000711e+00;9.800000000000000711e+00;0.000000000000000000e+00;7.234769509344272812e-05;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.900000000000000355e+00;9.900000000000000355e+00;0.000000000000000000e+00;-2.700053609536760477e-04;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.007672111480143948e-03;6.981317007977318190e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.010000000000000142e+01;1.009999939076253561e+01;3.490657955614030706e-04;6.711316513734548982e-03;6.981314599608964833e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.020000000000000107e+01;1.019999390767590697e+01;1.396246417909404640e-03;1.403497546730844529e-02;6.981318298613484186e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.030000000000000071e+01;1.029997867712890347e+01;3.141490564280069973e-03;2.092456939037439304e-02;6.981316489241767842e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.040000000000000036e+01;1.039994882598494641e+01;5.584713356219471285e-03;2.793046047277518082e-02;6.981317193303028523e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.050000000000000000e+01;1.049989948182030197e+01;8.725795635125521352e-03;3.490519402469248467e-02;6.981316945905194360e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.060000000000000142e+01;1.059982577316120533e+01;1.256458433762275631e-02;4.188827467192354076e-02;6.981317027935858566e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.070000000000000107e+01;1.069972282972141464e+01;1.710089235584268466e-02;4.886911924247683975e-02;6.981317001738153449e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.080000000000000071e+01;1.079958578263955005e+01;2.233449859887530128e-02;5.585056279913483412e-02;6.981317009887916258e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.090000000000000036e+01;1.089940976471640610e+01;2.826514798607990611e-02;6.283184591100968164e-02;6.981317007401384445e-02;4.000000000000000000e+00;0.000000000000000000e+00
