# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.000000000000000666e-01,7.521393782910586300e-37,4.000000000000000000e+00,4.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.300000000000000044e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.400000000000000133e+00,-1.491748087440829976e-40,4.000000000000000000e+00,4.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.800000000000000044e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.900000000000000133e+00,-2.242077542919707313e-43,4.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.100000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.300000000000000266e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.600000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.800000000000000266e+00,-2.933998043528385744e-48,4.000000000000000000e+00,4.000000000000000000e+00
2.900000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.100000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.300000000000000266e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.600000000000000089e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.800000000000000266e+00,5.220243574398819621e-54,4.000000000000000000e+00,4.000000000000000000e+00
3.900000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
