# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;-7.202699194405968972e-17;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;1.000000000000000056e-01;0.000000000000000000e+00;1.929957432465493721e-17;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;2.000000000000000111e-01;0.000000000000000000e+00;-5.171305354555641052e-18;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;3.000000000000000444e-01;0.000000000000000000e+00;1.385647093567929750e-18;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;4.000000000000000222e-01;0.000000000000000000e+00;-3.712830197160586409e-19;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;5.000000000000000000e-01;0.000000000000000000e+00;9.948498529630663092e-20;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;6.000000000000000888e-01;0.000000000000000000e+00;-2.665692146916744348e-20;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;7.000000000000000666e-01;7.929990642322768271e-37;7.142700580363282929e-21;-1.942730906076501711e-115;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;8.000000000000000444e-01;0.000000000000000000e+00;-1.913880852285652500e-21;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;9.000000000000000222e-01;0.000000000000000000e+00;5.128228287793291411e-22;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;1.000000000000000000e+00;0.000000000000000000e+00;-1.374104628316652397e-22;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;1.100000000000000089e+00;0.000000000000000000e+00;3.681902254733151217e-23;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.200000000000000178e+00;0.000000000000000000e+00;-9.865627357660764884e-24;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.300000000000000044e+00;0.000000000000000000e+00;2.643486883311592913e-24;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.400000000000000133e+00;-1.572786735483344532e-40;-7.083201755856077761e-25;3.918099650735217546e-111;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.500000000000000000e+00;0.000000000000000000e+00;1.897938190308346333e-25;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.600000000000000089e+00;0.000000000000000000e+00;-5.085510053773079170e-26;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.700000000000000178e+00;0.000000000000000000e+00;1.362658312008850762e-26;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.800000000000000044e+00;0.000000000000000000e+00;-3.651231942623290441e-27;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.900000000000000133e+00;-2.242077542919707313e-43;9.783446504046274198e-28;2.767673896005297968e-108;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;2.000000000000000000e+00;0.000000000000000000e+00;-2.621466589952294614e-28;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;2.100000000000000089e+00;0.000000000000000000e+00;7.024198557628866582e-29;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.200000000000000178e+00;0.000000000000000000e+00;-1.882128330992511780e-29;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
