# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.999999999999998890e-01,-1.795709848179116719e-18,4.000000000000000000e+00,4.000000000000000000e+00
1.099999847691126131e+00,1.745329183452779985e-04,4.000000000000000000e+00,4.000000000000000000e+00
1.199998476914420076e+00,6.981295778397954592e-04,4.000000000000000000e+00,4.000000000000000000e+00
1.299994669216921750e+00,1.570783565556623093e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.399987206175336674e+00,2.792484271305032718e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.499974869410924949e+00,4.363216799170914831e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.599956440604325847e+00,6.282962013901329315e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.699930701510410369e+00,8.551696522731378272e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.799896433973121379e+00,1.116939268223183027e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.899852419940319948e+00,1.413601859643324847e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.999797441478624593e+00,1.745153811794278309e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.099730280788252301e+00,2.111591084815172062e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.199649720217855986e+00,2.512909213778194428e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.299554542279362401e+00,2.949103308745201768e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.399443529662808050e+00,3.420168054821615122e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.499315465251167101e+00,3.926097712227283321e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.599169132135187965e+00,4.466886116362637354e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.699003313628215217e+00,5.042526677885034170e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.798816793281018622e+00,5.653012382788710072e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.898608354896612394e+00,6.298335792490412921e-02,4.000000000000000000e+00,4.000000000000000000e+00
2.998376782545075336e+00,6.978489043919597345e-02,4.000000000000000000e+00,4.000000000000000000e+00
3.098120860578368330e+00,7.693463849615840566e-02,4.000000000000000000e+00,4.000000000000000000e+00
3.197839373645143368e+00,8.443251497827887475e-02,4.000000000000000000e+00,4.000000000000000000e+00
3.297531106705554382e+00,9.227842852619985714e-02,4.000000000000000000e+00,4.000000000000000000e+00
3.397194845046060951e+00,1.004722835398493413e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.496829374294230242e+00,1.090139801795867586e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.596433480433534058e+00,1.179034143674290852e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.696005949818139680e+00,1.271404777883136938e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.795545569187699364e+00,1.367250578914210868e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.895051125682131410e+00,1.466570378915573736e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.994521406856400336e+00,1.569362967705542344e-01,4.000000000000000000e+00,4.000000000000000000e+00
