# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+00,1.328147661294742932e-18,4.000000000000000000e+00,4.000000000000000000e+00
1.099994516673784783e+00,-1.047196069298166835e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.199945170833089270e+00,-4.188331640315113430e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.299808119236609549e+00,-9.422021717329122359e-03,4.000000000000000000e+00,4.000000000000000000e+00
1.399539557078609775e+00,-1.674597547762078295e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.499095737261680217e+00,-2.615697814590581954e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.598432989556207273e+00,-3.765090238175529402e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.697507739768287172e+00,-5.122270611684517222e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.796276528849235721e+00,-6.686643617952545138e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.894696031960288352e+00,-8.457523043428817611e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.992723077476540317e+00,-1.043413209432826755e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.090314665924286164e+00,-1.261560373264302426e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.187427988842653548e+00,-1.500098105791467795e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.284020447561510458e+00,-1.758921772654172822e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.380049671887326301e+00,-2.037917841088750515e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.475473538688822916e+00,-2.336963929725143496e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.570250190374245403e+00,-2.655928862270610091e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.664338053252156335e+00,-2.994672725049657980e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.757695855767696269e+00,-3.353046928377201308e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.850282646606317360e+00,-3.730894271737272283e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.942057812657036031e+00,-4.128049012738829737e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.032981096827338963e+00,-4.544336939818575116e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.123012615701918904e+00,-4.979575448658652426e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.212112877037499370e+00,-5.433573622285871041e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.300242797086068602e+00,-5.906132314817289508e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.387363717738932412e+00,-6.397044238815320361e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.473437423484058151e+00,-6.906094056214225896e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.558426158169272657e+00,-7.433058472777951398e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.642292641563963151e+00,-7.977706336047911684e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.725000085712018016e+00,-8.539798736737829188e-01,4.000000000000000000e+00,4.000000000000000000e+00
