# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2;w_tr_right_m;w_tr_left_m
0;0;0;-7.54914848293216E-09;0;4;0;2;2
0.1;0.1;0;2.20021184278432E-08;0;4;0;2;2
0.2;0.2;0;-8.04593252028473E-08;0;4;0;2;2
0.3;0.3;0;2.99835182735016E-07;0;4;0;2;2
0.4;0.4;0;-1.11888140084615E-06;0;4;0;2;2
0.5;0.5;0;4.17569048874019E-06;0;4;0;2;2
0.6;0.6;0;-1.55838796042624E-05;0;4;0;2;2
0.7;0.7;0;5.81598410812612E-05;0;4;0;2;2
0.8;0.8;0;-0.000217055297532829;0;4;0;2;2
0.9;0.9;0;0.000810063748786667;0;4;0;2;2
1;1;1.32814766129474E-18;-0.00302315549026399;-0.209439510239319;4;0;2;2
1.1;1.09999451667378;-0.00104719606929817;-0.0201340186854665;-0.209438860006616;4;0;2;2
1.2;1.19994517083309;-0.00418833164031511;-0.0421047887740072;-0.209439858686944;4;0;2;2
1.3;1.29980811923661;-0.00942202171732912;-0.0627737978271169;-0.209439370194364;4;0;2;2
1.4;1.39953955707861;-0.0167459754776208;-0.0837913369587468;-0.209439560270979;4;0;2;2
1.5;1.49909573726168;-0.0261569781459058;-0.104715601061384;-0.209439493482422;4;0;2;2
1.6;1.59843298955621;-0.0376509023817553;-0.12566481659659;-0.209439515627146;4;0;2;2
1.7;1.69750773976829;-0.0512227061168452;-0.146607360455821;-0.209439508555099;4;0;2;2
1.8;1.79627652884924;-0.0668664361795255;-0.167551687436948;-0.209439510755058;4;0;2;2
1.9;1.89469603196029;-0.0845752304342882;-0.188495538060106;-0.209439510083859;4;0;2;2
2;1.99272307747654;-0.104341320943283;-0.209439515884345;-0.209439510285602;4;0;2;2
2.1;2.09031466592429;-0.12615603732643;-0.23038345975764;-0.209439510225678;4;0;2;2
2.2;2.18742798884265;-0.150009810579147;-0.251327412688564;-0.209439510243307;4;0;2;2
2.3;2.28402044756151;-0.175892177265417;-0.27227136320416;-0.209439510238162;4;0;2;2
2.4;2.38004967188733;-0.203791784108875;-0.293215314363536;-0.209439510239653;4;0;2;2
2.5;2.47547353868882;-0.233696392972514;-0.314159265351392;-0.209439510239224;4;0;2;2
2.6;2.57025019037425;-0.265592886227061;-0.335103216384935;-0.209439510239347;4;0;2;2
2.7;2.66433805325216;-0.299467272504966;-0.3560471674063;-0.209439510239312;4;0;2;2
2.8;2.7576958557677;-0.33530469283772;-0.376991118430917;-0.209439510239322;4;0;2;2
2.9;2.85028264660632;-0.373089427173727;-0.397935069454674;-0.209439510239319;4;0;2;2
3;2.94205781265704;-0.412804901273883;-0.418879020478645;-0.20943951023932;4;0;2;2
3.1;3.03298109682734;-0.454433693981857;-0.43982297150257;-0.209439510239319;4;0;2;2
3.2;3.12301261570192;-0.497957544865865;-0.460766922526499;-0.20943951023932;4;0;2;2
3.3;3.2121128770375;-0.543357362228587;-0.481710873550435;-0.20943951023932;4;0;2;2
3.4;3.30024279708607;-0.590613231481729;-0.502654824574375;-0.20943951023932;4;0;2;2
3.5;3.38736371773893;-0.639704423881532;-0.523598775598295;-0.20943951023932;4;0;2;2
3.6;3.47343742348406;-0.690609405621423;-0.544542726622229;-0.20943951023932;4;0;2;2
3.7;3.55842615816927;-0.743305847277795;-0.565486677646166;-0.20943951023932;4;0;2;2
3.8;3.64229264156396;-0.797770633604791;-0.586430628670093;-0.20943951023932;4;0;2;2
3.9;3.72500008571202;-0.853979873673783;-0.607374579694026;-0.20943951023932;4;0;2;2
4;3.80651221106883;-0.911908911353108;-0.628318530717959;-0.20943951023932;4;0;2;2
4.1;3.88679326241528;-0.971532336123456;-0.649262481741892;-0.20943951023932;4;0;2;2
4.2;3.96580802454175;-1.03282399422417;-0.670206432765821;-0.20943951023932;4;0;2;2
4.3;4.04352183769521;-1.09575700012558;-0.691150383789754;-0.20943951023932;4;0;2;2
4.4;4.11990061278271;-1.16030374832229;-0.712094334813694;-0.20943951023932;4;0;2;2
