# 2024-11-22 12:01:23
# d41d8cd98f00b204e9800998ecf8427e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-1.417065348226844712e+00;1.283645872537567900e+00;-2.646181916797103018e+00;-1.910693593344413299e-01;1.000000000000000000e+00;0.000000000000000000e+00;4.772621169426638499e-01;5.258179554955056956e-01
4.457815382913943303e-02;-1.456284027653778068e+00;1.262453728171745615e+00;-2.654590781156068946e+00;-2.683586122942066554e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.272621169426638943e-01;5.258179554955056956e-01
9.031251518013301560e-02;-1.496875369836400571e+00;1.241383019878085747e+00;-2.670144750007143575e+00;-3.147197733078140880e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.272621169426638943e-01;4.758179554955056512e-01
1.370997263329906679e-01;-1.538710390588031496e+00;1.220433696113994992e+00;-2.683785419559306717e+00;-2.703584827277334401e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.746195245202372348e-01;5.231753630730789917e-01
1.848377813737240583e-01;-1.581665057052222156e+00;1.199605385380231093e+00;-2.695761542024362800e+00;-2.329978891600803514e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.529204679174070103e-01;5.514763064702488116e-01
2.334267010629264560e-01;-1.625620287702752131e+00;1.178897396220912164e+00;-2.706278389482357660e+00;-2.012189019373185894e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.686058928666449797e-01;5.464510533008321014e-01
2.827690620788276266e-01;-1.670461952343635259e+00;1.158308717223509365e+00;-2.715506455529514529e+00;-1.739252021805558768e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.344277585541394870e-01;5.829835971069813327e-01
3.327704161348755685e-01;-1.716080872109114308e+00;1.137838017018849790e+00;-2.723588225488417613e+00;-1.502619121778203393e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.844277585541395315e-01;6.036942752256360123e-01
3.833396249424380064e-01;-1.762372819463663642e+00;1.117483644281118904e+00;-2.730643482572578051e+00;-1.295565146380507626e-01;1.000000000000000000e+00;0.000000000000000000e+00;6.119374622923544615e-01;6.604933008451963072e-01
4.343891302124001652e-01;-1.809238518201989665e+00;1.097243627727855886e+00;-2.736773499003772869e+00;-1.112755733230313820e-01;1.000000000000000000e+00;0.000000000000000000e+00;5.414369486308573398e-01;6.899927871836991633e-01
4.858351730202558061e-01;-1.856583643449028376e+00;1.077115676119956733e+00;-2.742064373394987431e+00;-9.499276615843110783e-02;1.000000000000000000e+00;0.000000000000000000e+00;5.730081804669759915e-01;6.833674178948072608e-01
5.375979733244340419e-01;-1.904318821659946925e+00;1.057097178261673820e+00;-2.746589710944848495e+00;-8.036508798685898514e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.119374622923544615e-01;7.019146570825057774e-01
5.896018778350304856e-01;-1.952359630620144282e+00;1.037185203000614120e+00;-2.750412795111932596e+00;-6.711500723007077229e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.050001968570217770e-01;7.653594342848530907e-01
6.417754825094723614e-01;-2.000626599445248122e+00;1.017376499227741871e+00;-2.753588363935041361e+00;-5.501700238097365775e-02;1.000000000000000000e+00;0.000000000000000000e+00;5.881554634533883164e-01;7.948251850146491604e-01
6.940517345147295680e-01;-2.049045208581121269e+00;9.976674958773767976e-01;-2.756164077717788707e+00;-4.388735104088581362e-02;1.000000000000000000e+00;0.000000000000000000e+00;5.881554634533883164e-01;8.635772614057678487e-01
7.463680174101778864e-01;-2.097545889803853925e+00;9.780543019271951133e-01;-2.758181744977830974e+00;-3.357635736499758883e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.213863117600560981e-01;9.435489480628769243e-01
7.986662224775592511e-01;-2.146064026219768550e+00;9.585327063982282958e-01;-2.759678358606133752e+00;-2.396242467013032923e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.070727665971356046e-01;9.455975236253573168e-01
8.508928084874807229e-01;-2.194539952265419203e+00;9.390981783548633111e-01;-2.760686982801900946e+00;-1.494753665519861496e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.353759999510829592e-01;1.075479433246189886e+00
9.029988516974576385e-01;-2.242918953707588869e+00;9.197458669048447222e-01;-2.761237522600663574e+00;-6.453822283486176058e-03;1.000000000000000000e+00;0.000000000000000000e+00;6.213863117600560981e-01;1.126063025056521338e+00
9.549400874895807023e-01;-2.291151267643294798e+00;9.004706011992718029e-01;-2.761357401001439005e+00;1.579041050268224907e-03;1.000000000000000000e+00;0.000000000000000000e+00;6.070727665971356046e-01;1.207605088933686011e+00
1.006676944750969138e+00;-2.339192082499782277e+00;8.812668904326002028e-01;-2.761072163308047500e+00;9.195774898209043910e-03;1.000000000000000000e+00;0.000000000000000000e+00;6.353759999510829592e-01;1.187044725918852128e+00
1.058174573858795542e+00;-2.387001538034528636e+00;8.621289238426421697e-01;-2.760406023943442477e+00;1.642694674650515413e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.713863117600561425e-01;1.197142337578774418e+00
1.109402868940157383e+00;-2.434544725335242799e+00;8.430505707105636626e-01;-2.759382367383977464e+00;2.329003830982882481e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.070727665971356046e-01;1.221391610412543738e+00
1.160336484925778455e+00;-2.481791686819864839e+00;8.240253803608891259e-01;-2.758024211772249767e+00;2.979023873173941572e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.353759999510829592e-01;1.194909061368569114e+00
1.210954849798444588e+00;-2.528717416236562876e+00;8.050465821614984918e-01;-2.756354641037639830e+00;3.592105512741390616e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.713863117600561425e-01;1.179844101672176571e+00
1.261242172347442958e+00;-2.575301858663740617e+00;7.861070855236265142e-01;-2.754397208860338786e+00;4.166482686281509223e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.529204679174069881e-01;1.143919196560054141e+00
1.311187445675868979e+00;-2.621529910510028927e+00;7.671994799018652111e-01;-2.752176315472599111e+00;4.699322747438347547e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.294186722244904386e-01;1.192756017826682502e+00
1.360784446666693182e+00;-2.667391419514292483e+00;7.483160347941612001e-01;-2.749717556049403822e+00;5.186783773489136301e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.570727665971356490e-01;1.188723794634507502e+00
1.410031731594687310e+00;-2.712881184745624008e+00;7.294486997418178076e-01;-2.747048037280848565e+00;5.624087357039780910e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.353759999510829592e-01;1.192948832878872212e+00
1.458932628074429028e+00;-2.757998956603351370e+00;7.105891043294955134e-01;-2.744196656655411459e+00;6.005615171372274963e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.713863117600561425e-01;1.203037339797427885e+00
1.507495223559179420e+00;-2.802749436817028705e+00;6.917285581852086196e-01;-2.741194337066287900e+00;6.325037241536411725e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.611967209472290330e-01;1.168769553875018241e+00
1.555732350651324758e+00;-2.847142278446443964e+00;6.728580509803284704e-01;-2.738074207664434212e+00;6.575479039263903980e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.605677898157022998e-01;1.219025579727822661e+00
1.603661569551318333e+00;-2.891192085881615803e+00;6.539682524295823418e-01;-2.734871720538570194e+00;6.749733067198641911e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.529204679174069881e-01;1.173491631915776212e+00
1.651305148057243821e+00;-2.934918414842793144e+00;6.350495122910535528e-01;-2.731624691948378203e+00;6.840518352219115972e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.737408611673439962e-01;1.164739589809991038e+00
1.698690039628383941e+00;-2.978345772380456946e+00;6.160918603661812432e-01;-2.728373256634829769e+00;6.840788123884970762e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.529204679174069881e-01;1.211378257829527350e+00
1.745847860139325913e+00;-3.021503616875319764e+00;5.970850064997607065e-01;-2.725159724350563639e+00;6.744081894862147264e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.853759999510830037e-01;1.205947163949452339e+00
1.792814864070213510e+00;-3.064426358038321752e+00;5.780183405799430574e-01;-2.722028329347557563e+00;6.544913294004245374e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.200036711237237652e-01;1.142901158701822517e+00
1.839631920995970393e+00;-3.107153356910635544e+00;5.588809325382344539e-01;-2.719024866244968752e+00;6.239561118421891456e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.105677898157023442e-01;1.151566518458349231e+00
1.886344493343136364e+00;-3.149728925863668483e+00;5.396615323494990957e-01;-2.716195849832625964e+00;5.838914483594559446e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.100272491039545386e-01;1.155796683156754323e+00
1.933002542383622346e+00;-3.192202247217025501e+00;5.203485700319554486e-01;-2.713576252760953711e+00;5.393929280284245897e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.993398817766129927e-01;1.178684375622650382e+00
1.979658129253905718e+00;-3.234624752670990144e+00;5.009301556471787986e-01;-2.711165324868376025e+00;4.976820529993732783e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.329939933541792518e-01;1.183526315690729414e+00
2.026360621863835032e+00;-3.277044848580141334e+00;4.813940793000993090e-01;-2.708932176140114834e+00;4.628840490247919381e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.188115210812247025e-01;1.175016481888214059e+00
2.073155686916188234e+00;-3.319506784591937709e+00;4.617278111390048512e-01;-2.706839224007125733e+00;4.359511654029595007e-02;1.000000000000000000e+00;0.000000000000000000e+00;6.993398817766129927e-01;1.171957392065364312e+00
2.120085306681424253e+00;-3.362050649686828319e+00;4.419185013555378960e-01;-2.704847697238687676e+00;4.171352181755951655e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.329939933541792518e-01;1.171518750382401164e+00
2.167187797077990030e+00;-3.404712372178252622e+00;4.219529801846972350e-01;-2.702918107968386163e+00;4.065443948473270591e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.188115210812247025e-01;1.044233319033604168e+00
2.214497824069836529e+00;-3.447523719712637824e+00;4.018177579048378689e-01;-2.701010646776128787e+00;4.041661477794827179e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.188115210812247025e-01;1.023522640914949600e+00
2.262046419062364144e+00;-3.490512299269406427e+00;3.814990248376702309e-01;-2.699085512153167610e+00;4.098901439400148838e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.462239052833322672e-01;9.447797438361741351e-01
2.309860994020013880e+00;-3.533701557160967788e+00;3.609826513482614629e-01;-2.697103171139921596e+00;4.235318783852281416e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.809314568454588379e-01;8.794872953983006170e-01
2.357965357052028921e+00;-3.577110779032723009e+00;3.402541878450338064e-01;-2.695024550576404998e+00;4.448558875917842104e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.688115210812247469e-01;8.673673596340665259e-01
2.406379729222129615e+00;-3.620755089863062715e+00;3.192988647797667667e-01;-2.692811160554013927e+00;4.735977488564695193e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.529204679174070769e-01;8.514763064702488560e-01
2.455120763338190848e+00;-3.664645453963371491e+00;2.981015926475941713e-01;-2.690425153279816683e+00;5.094843027944440800e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.047039102983168934e-01;8.239704269698134853e-01
2.504201565474366120e+00;-3.708788674978020783e+00;2.766469619870070007e-01;-2.687829321672824623e+00;5.522517688269203140e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.019891460530118588e-01;7.798343064871988695e-01
2.553631719975357317e+00;-3.753187395884372890e+00;2.549192433798521118e-01;-2.684987042647812849e+00;6.016616260973588204e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.818070699987131889e-01;7.185595096765655665e-01
2.603417318694918769e+00;-3.797840098992784519e+00;2.329023874513315162e-01;-2.681862170266873235e+00;6.575142980423193118e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.795001947684750965e-01;6.699421503128979438e-01
2.653560995232231434e+00;-3.842741105946597902e+00;2.105800248700042676e-01;-2.678418883822529128e+00;7.196608062441105236e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.853759999510829815e-01;6.839318385039248049e-01
2.704061964954028507e+00;-3.887880577722147457e+00;1.879354663477845744e-01;-2.674621495531698923e+00;7.880126500840019255e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.331980316906065775e-01;6.514763064702489004e-01
2.754916071630336472e+00;-3.933244514628762900e+00;1.649517026399427433e-01;-2.670434221937482810e+00;8.625502271560207823e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.631140798654407753e-01;6.535560354098636227e-01
2.806115841570529845e+00;-3.978814756308755030e+00;1.416114045451057346e-01;-2.665820922400532478e+00;9.433301408585473280e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.914742847204284670e-01;6.597525595000708343e-01
2.857650546226957022e+00;-4.024568981737433937e+00;1.178969229052554135e-01;-2.660744807268617063e+00;1.030491751590746213e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.966149782169550386e-01;6.215640190198178372e-01
2.909506274338407916e+00;-4.070480709223096127e+00;9.379028860573068727e-02;-2.655168117491428781e+00;1.124263321604485055e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.943107447342713234e-01;5.867113020062301176e-01
2.961666014818764570e+00;-4.116519296407028961e+00;6.927321257522550679e-02;-2.649051776638676969e+00;1.224968085257251427e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.619374622923544615e-01;5.604933008451962184e-01
3.014109751760445377e+00;-4.162649940263511539e+00;4.432708578579011571e-02;-2.642355015518605743e+00;1.333030549033903389e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.966149782169550386e-01;5.715640190198177928e-01
3.066814573122175869e+00;-4.208833677099812043e+00;1.893297925283118910e-02;-2.635034968916875719e+00;1.448983290770112509e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.455750751457683512e-01;5.899927871836991855e-01
3.119754794910848616e+00;-4.255027382556189508e+00;-6.928355964889360008e-03;-2.627046243417539007e+00;1.573474484927151473e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.534850570346194099e-01;5.604933008451962184e-01
3.172902102953433445e+00;-4.301183771605895600e+00;-3.327648876525296506e-02;-2.618340454871293410e+00;1.707276328206459304e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.576647146476953365e-01;5.399927871836991411e-01
3.226225714693618407e+00;-4.347251398555169288e+00;-6.013130800278565502e-02;-2.608865733896748473e+00;1.851294472807415992e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.559184855536111636e-01;5.439191965600540524e-01
3.279692563846606124e+00;-4.393174657043243947e+00;-8.751302248865755473e-02;-2.598566197911484466e+00;2.006578485808626355e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.839297409835951136e-01;5.162578135195988738e-01
3.333267511212624878e+00;-4.438893780042339365e+00;-1.154421609906819135e-01;-2.587381388694402595e+00;2.174333231381020137e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.383306645423754810e-01;5.514763064702488116e-01
3.386913585494611745e+00;-4.484344839857667964e+00;-1.439395722333172978e-01;-2.575245675521379951e+00;2.355930902213262401e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.006555245709775281e-01;5.329835971069812883e-01
3.440592258597688247e+00;-4.529459748127434793e+00;-1.730264248976650654e-01;-2.562087625687989423e+00;2.552923185767508318e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.712553655600309144e-01;5.662578135195989182e-01
3.494263760617183578e+00;-4.574166255822828653e+00;-2.027242076214712529e-01;-2.547829347004630041e+00;2.767052710437574170e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.291633558619739608e-01;5.423089977898472025e-01
3.547887440556247718e+00;-4.618387953248038080e+00;-2.330547289991264648e-01;-2.532385810978793561e+00;3.000262437342002264e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.484332530181655008e-01;5.329835971069812883e-01
3.601422179758671405e+00;-4.662044270040235361e+00;-2.640401175816639023e-01;-2.515664171363765078e+00;3.254700995009673914e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.249402423494722525e-01;5.329835971069812883e-01
3.654826866097106830e+00;-4.705050475169586299e+00;-2.957028218767624450e-01;-2.497563101168586375e+00;3.532721034532506632e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.291610204130440476e-01;6.171617314194869364e-01
3.708060938110426363e+00;-4.747317676939245779e+00;-3.280656103487433750e-01;-2.477972182867002271e+00;3.836866438838902327e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.015216413847334964e+00;6.036942752256360123e-01
3.761085009509906207e+00;-4.788752822985360424e+00;-3.611515714185731252e-01;-2.456771402357206036e+00;4.169551426857703302e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.006063721798771349e+00;6.423089977898472913e-01
3.813861585719594771e+00;-4.829258700277066829e+00;-3.949841134638625295e-01;-2.433833941652757016e+00;4.529166829904595626e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.016804312695132495e+00;6.345714959547789080e-01
3.866356004510957511e+00;-4.868734242443720106e+00;-4.295867950780347666e-01;-2.409066914388883429e+00;4.905649716055907605e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.060185654012062884e+00;6.556286051499774503e-01
3.918538758377297704e+00;-4.907078462989737488e+00;-4.649811527045468740e-01;-2.382457895849910301e+00;5.286650691585552675e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.053682740936418893e+00;6.779745107773322843e-01
3.970387502302655136e+00;-4.944194853359068276e+00;-5.011842715286028982e-01;-2.354045921139126030e+00;5.666041285704561670e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.019931156019822982e+00;7.279745107773323287e-01
4.021887214699417790e+00;-4.979991846005181522e+00;-5.382085297175707161e-01;-2.323879843863521089e+00;6.041690846138401128e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.006473858510680719e+00;7.514763064702487672e-01
4.073030088268022375e+00;-5.014382814393671950e+00;-5.760615984195414097e-01;-2.292015578223145944e+00;6.411315572014154585e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.059151057792312445e+00;7.722966997201857753e-01
4.123815337421667948e+00;-5.047286073002272389e+00;-6.147464417633289324e-01;-2.258517822770483185e+00;6.772072883685417155e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.013475595463805723e+00;8.514763064702488560e-01
4.174248917602946030e+00;-5.078624877320829789e+00;-6.542613168584694439e-01;-2.223461486973147938e+00;7.120640095799670721e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.015567647793450989e+00;8.978957203294548606e-01
4.224343152584975947e+00;-5.108327423851329208e+00;-6.945997737952231965e-01;-2.186932738411937027e+00;7.453325474916951965e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.809314568454587935e-01;8.912906942732901072e-01
4.274116267292368931e+00;-5.136326850107882258e+00;-7.357506556445733148e-01;-2.149029586430349692e+00;7.766213054979801411e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.001654233555843598e+00;9.291707585090560606e-01
4.323591825795150889e+00;-5.162561234616720895e+00;-7.776980984582253509e-01;-2.109861925378543113e+00;8.055338719508339240e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.831645631884639025e-01;8.995349602286362156e-01
4.372798076862928873e+00;-5.186973596916214291e+00;-8.204215312686103934e-01;-2.069550978567983535e+00;8.316890598315772598e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.023843527192777492e+00;9.945624816262038648e-01
4.421767212689707627e+00;-5.209511897556852844e+00;-8.638956760888786279e-01;-2.028228112708682751e+00;8.547422357401274207e-01;1.000000000000000000e+00;0.000000000000000000e+00;1.015052502273371182e+00;9.721869845889035133e-01
