# b48d595a-f739-42dd-902a-fdfbcb034baf
# 9f08a87e1e53cac09445cac73deebbde5ace821b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.6069368; 1.2204865; 1.8355001; -0.1257532; 4.2285656; 0.0000019
0.0999621; -1.7027362; 1.1951345; 1.8237335; -0.1118260; 4.2285656; 0.0000018
0.1999242; -1.7991872; 1.1707531; 1.8132790; -0.0984384; 4.2285657; 0.0000017
0.2998863; -1.8961907; 1.1472421; 1.8041022; -0.0855202; 4.2285657; 0.0000016
0.3998484; -1.9936475; 1.1245017; 1.7961736; -0.0729996; 4.2285658; 0.0000015
0.4998105; -2.0914585; 1.1024317; 1.7894679; -0.0608032; 4.2285658; 0.0000015
0.5997726; -2.1895245; 1.0809322; 1.7839651; -0.0488569; 4.2285658; 0.0000014
0.6997347; -2.2877464; 1.0599032; 1.7796499; -0.0370855; 4.2285659; 0.0000013
0.7996967; -2.3860250; 1.0392447; 1.7765121; -0.0254126; 4.2285659; 0.0000012
0.8996588; -2.4842612; 1.0188567; 1.7745467; -0.0137604; 4.2285659; 0.0000012
0.9996209; -2.5823559; 0.9986392; 1.7737540; -0.0020493; 4.2285659; 0.0000011
1.0995830; -2.6802099; 0.9784921; 1.7741395; 0.0098027; 4.2285660; 0.0000011
1.1995451; -2.7777240; 0.9583155; 1.7757144; 0.0218808; 4.2285660; 0.0000010
1.2995072; -2.8772225; 0.9374956; 1.7787961; 0.0453656; 4.2285660; 0.0000010
1.3994693; -2.9800334; 0.9154611; 1.7858004; 0.0882066; 4.2285660; 0.0000009
1.4994314; -3.0819067; 0.8926398; 1.7973312; 0.1331565; 4.2285661; 0.0000009
1.5993935; -3.1825753; 0.8686189; 1.8135508; 0.1808665; 4.2285661; 0.0000008
1.6993556; -3.2817717; 0.8429860; 1.8346625; 0.2319425; 4.2285661; 0.0000008
1.7993177; -3.3792287; 0.8153283; 1.8609036; 0.2868848; 4.2285661; 0.0000007
1.8992798; -3.4746790; 0.7852333; 1.8925336; 0.3459963; 4.2285661; 0.0000007
1.9992419; -3.5678554; 0.7522883; 1.9298165; 0.4092502; 4.2285662; 0.0000007
2.0992040; -3.6584904; 0.7160808; 1.9729933; 0.4761154; 4.2285662; -0.0990269
