# 897c8d18-f3de-42b9-a947-3266d142ee51
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.6606039; 1.3370345; 1.9028959; 0.0206260; 5.3386364; -0.4305056
0.0998606; -1.7553613; 1.3042341; 1.9052907; 0.0271365; 5.3305776; -0.4298552
0.1997212; -1.8501815; 1.2711224; 1.9083439; 0.0336704; 5.3225188; -0.4292049
0.2995818; -1.9449756; 1.2376595; 1.9120597; 0.0402681; 5.3144600; -0.4285545
0.3994424; -2.0396545; 1.2038055; 1.9164445; 0.0469696; 5.3064012; -0.4279042
0.4993031; -2.1341291; 1.1695205; 1.9215077; 0.0538147; 5.2983424; -0.4272538
0.5991637; -2.2283103; 1.1347645; 1.9272612; 0.0608441; 5.2902836; -0.4266035
0.6990243; -2.3221090; 1.0994976; 1.9337196; 0.0680990; 5.2822248; -0.4259531
0.7988849; -2.4154363; 1.0636799; 1.9409006; 0.0756217; 5.2741660; -0.4253028
0.8987455; -2.5082030; 1.0272715; 1.9488241; 0.0834561; 5.2661072; -0.4246524
0.9986061; -2.6003200; 0.9902324; 1.9575132; 0.0916476; 5.2580484; -0.4240021
1.0984667; -2.6916982; 0.9525227; 1.9669939; 0.1002433; 5.2499896; -0.4233517
1.1983273; -2.7822487; 0.9141025; 1.9772951; 0.1092927; 5.2419308; -1.9098116
1.2981879; -2.8760437; 0.8730852; 1.9889372; 0.1176912; 5.2054210; -2.7492721
1.3980486; -2.9711159; 0.8301233; 2.0016442; 0.1260206; 5.1524092; -2.7211303
1.4979092; -3.0649157; 0.7862475; 2.0151538; 0.1350263; 5.0993973; -2.6929885
1.5977698; -3.1573346; 0.7414381; 2.0295158; 0.1447805; 5.0463854; -2.6648467
1.6976304; -3.2482639; 0.6956757; 2.0447843; 0.1553616; 4.9933735; -2.6367048
1.7974910; -3.3375949; 0.6489407; 2.0610181; 0.1668549; 4.9403617; -2.6085630
1.8973516; -3.4252189; 0.6012137; 2.0782805; 0.1793517; 4.8873498; -2.5804212
1.9972122; -3.5110274; 0.5524751; 2.0966401; 0.1929500; 4.8343379; -2.5522794
2.0970728; -3.5949116; 0.5027054; 2.1161706; 0.2077531; 4.7813260; -2.5241376
2.1969334; -3.6767629; 0.4518852; 2.1369506; 0.2238686; 4.7283142; -2.4959958
2.2967941; -3.7564727; 0.3999948; 2.1590641; 0.2414068; 4.6753023; -2.5916002
2.3966547; -3.8355008; 0.3459137; 2.1830877; 0.2590314; 4.6196162; -3.4941686
2.4965153; -3.9236732; 0.2820936; 2.2117080; 0.2671122; 4.5434562; -3.4360842
2.5963759; -4.0084724; 0.2169086; 2.2407800; 0.2768010; 4.4672962; -3.3779997
2.6962365; -4.0897932; 0.1505121; 2.2704267; 0.2883304; 4.3911362; -3.3199153
2.7960971; -4.1675307; 0.0830578; 2.3007842; 0.3019770; 4.3149762; -3.2618309
2.8959577; -4.2415797; 0.0146988; 2.3320040; 0.3180710; 4.2388162; -3.2037465
2.9958183; -4.3118353; -0.0544111; 2.3642556; 0.3370068; 4.1626562; -3.1456620
3.0956789; -4.3781924; -0.1241188; 2.3977288; 0.3592558; 4.0864962; -3.0875776
3.1955396; -4.4405460; -0.1942705; 2.4326374; 0.3853809; 4.0103362; -3.0294932
3.2954002; -4.4987909; -0.2647130; 2.4692225; 0.4160525; 3.9341762; -3.3205961
3.3952608; -4.5581930; -0.3426320; 2.5119097; 0.4573437; 3.8489672; -3.9124638
3.4951214; -4.6216891; -0.4348478; 2.5663936; 0.5180659; 3.7460842; -3.8064668
3.5949820; -4.6775603; -0.5267803; 2.6259140; 0.5910043; 3.6432011; -3.7004699
3.6948426; -4.7255763; -0.6181725; 2.6912710; 0.6780010; 3.5403181; -3.5944729
3.7947032; -4.7655068; -0.7087672; 2.7633181; 0.7804928; 3.4374350; -3.4884759
3.8945638; -4.7971215; -0.7983071; 2.8429100; 0.8988273; 3.3345520; -3.3824790
3.9944244; -4.8201900; -0.8865351; 2.9308097; 1.0311948; 3.2316689; -3.2764820
4.0942851; -4.8344821; -0.9731940; 3.0275404; 1.1722294; 3.1287859; -5.0428326
4.1941457; -4.8398248; -1.0746719; -3.1313510; 1.2606007; 2.9634676; -5.0577967
4.2940063; -4.8322235; -1.1756421; -3.0006365; 1.3146965; 2.7878291; -4.7488771
4.3938669; -4.8118734; -1.2726903; -2.8687770; 1.3376897; 2.6121906; -4.4399576
4.4937275; -4.7792988; -1.3652277; -2.7376013; 1.3296823; 2.4365520; -4.1310380
4.5935881; -4.7350238; -1.4526655; -2.6087127; 1.2946598; 2.2609135; -3.8221185
4.6934487; -4.6795726; -1.5344148; -2.4833529; 1.2390894; 2.0852750; 0.9156716
4.7933093; -4.6187271; -1.6046215; -2.3741496; 1.0885419; 2.1286735; 2.2425304
4.8931699; -4.5509710; -1.6684451; -2.2813165; 0.9063970; 2.2313968; 2.3481985
4.9930306; -4.4757493; -1.7280241; -2.2027863; 0.7335705; 2.3341201; 2.4538666
5.0928912; -4.3937274; -1.7839249; -2.1377955; 0.5802358; 2.4368434; 2.5595347
5.1927518; -4.3055705; -1.8367143; -2.0851331; 0.4490742; 2.5395668; 2.6652028
5.2926124; -4.2119440; -1.8869588; -2.0434820; 0.3386643; 2.6422901; 2.5708274
5.3924730; -4.1150068; -1.9345198; -2.0119762; 0.2574035; 2.7377264; 0.5127234
5.4923336; -4.0302377; -1.9732391; -1.9858392; 0.3027590; 2.7563649; 0.5162022
5.5921942; -3.9425494; -2.0103075; -1.9549761; 0.3449597; 2.7750034; 0.5196810
5.6920548; -3.8519076; -2.0451288; -1.9195389; 0.3843150; 2.7936419; 0.5231598
5.7919154; -3.7582775; -2.0771066; -1.8796793; 0.4207331; 2.8122805; 0.5266386
5.8917761; -3.6616249; -2.1056449; -1.8355741; 0.4537757; 2.8309190; 0.5301174
5.9916367; -3.5619151; -2.1301473; -1.7874481; 0.4827195; 2.8495575; 0.5335961
6.0914973; -3.4591137; -2.1500176; -1.7355948; 0.5066407; 2.8681960; 0.5377226
6.1913579; -3.3532007; -2.1646580; -1.6803996; 0.5244765; 2.8868570; 1.2927963
6.2912185; -3.2612669; -2.1725978; -1.6342192; 0.4772016; 2.9312356; 1.3125184
6.3910791; -3.1672413; -2.1765174; -1.5913735; 0.4341499; 2.9756142; 1.3322405
6.4909397; -3.0712887; -2.1765546; -1.5516157; 0.3953086; 3.0199928; 1.3519626
6.5908003; -2.9735736; -2.1728471; -1.5146970; 0.3605066; 3.0643714; 1.3716847
6.6906610; -2.8742607; -2.1655326; -1.4803749; 0.3294801; 3.1087500; 1.3914068
6.7905216; -2.7735146; -2.1547489; -1.4484181; 0.3019195; 3.1531286; 1.4111289
6.8903822; -2.6714999; -2.1406337; -1.4186096; 0.2775011; 3.1975072; 1.4308510
6.9902428; -2.5683812; -2.1233245; -1.3907478; 0.2559073; 3.2418858; 1.4505731
7.0901034; -2.4643231; -2.1029593; -1.3646469; 0.2368388; 3.2862644; 1.3706732
7.1899640; -2.3651179; -2.0809937; -1.3414313; 0.2198283; 3.3276548; 1.2549583
7.2898246; -2.2727601; -2.0584358; -1.3213085; 0.2036140; 3.3651045; 1.2690027
7.3896852; -2.1798675; -2.0338219; -1.3024954; 0.1880588; 3.4025542; 1.2830471
7.4895458; -2.0864316; -2.0072380; -1.2849556; 0.1731864; 3.4400039; 1.2970914
7.5894065; -1.9924437; -1.9787696; -1.2686510; 0.1590051; 3.4774536; 1.3111358
7.6892671; -1.8978953; -1.9485028; -1.2535423; 0.1455110; 3.5149033; 1.3251802
7.7891277; -1.8027777; -1.9165234; -1.2395902; 0.1326906; 3.5523530; 1.3392246
7.8889883; -1.7070824; -1.8829170; -1.2267555; 0.1205228; 3.5898027; 1.3532689
7.9888489; -1.6108008; -1.8477696; -1.2150001; 0.1089817; 3.6272524; 1.3673133
8.0887095; -1.5139243; -1.8111670; -1.2042865; 0.0980372; 3.6647021; 1.3813577
8.1885701; -1.4164444; -1.7731950; -1.1945790; 0.0876570; 3.7021518; 1.3193446
8.2884307; -1.3232008; -1.7359020; -1.1862187; 0.0796318; 3.7375699; 1.2568194
8.3882913; -1.2341770; -1.6994839; -1.1788447; 0.0737572; 3.7710002; 1.2680108
8.4881520; -1.1446691; -1.6621211; -1.1719639; 0.0681802; 3.8044305; 1.2792022
8.5880126; -1.0546888; -1.6238575; -1.1655591; 0.0628785; 3.8378607; 1.2903937
8.6878732; -0.9642482; -1.5847370; -1.1596141; 0.0578311; 3.8712910; 1.3015851
8.7877338; -0.8733589; -1.5448037; -1.1541139; 0.0530183; 3.9047213; 1.3127765
8.8875944; -0.7820328; -1.5041016; -1.1490447; 0.0484217; 3.9381515; 1.3239679
8.9874550; -0.6902819; -1.4626745; -1.1443932; 0.0440239; 3.9715818; 1.3351594
9.0873156; -0.5981179; -1.4205665; -1.1401477; 0.0398087; 4.0050121; 1.3463508
9.1871762; -0.5055527; -1.3778216; -1.1362968; 0.0357606; 4.0384423; 1.3575422
9.2870368; -0.4125981; -1.3344836; -1.1328303; 0.0318654; 4.0718726; 1.3687336
9.3868975; -0.3192660; -1.2905967; -1.1297389; 0.0281094; 4.1053029; 1.2859445
9.4867581; -0.2278185; -1.2472743; -1.1270669; 0.0249749; 4.1364649; 1.1533524
9.5866187; -0.1394315; -1.2051315; -1.1247347; 0.0226740; 4.1642155; 1.1610641
9.6864793; -0.0507468; -1.1626044; -1.1226149; 0.0204438; 4.1919661; 1.1687758
9.7863399; 0.0382219; -1.1197202; -1.1207033; 0.0182783; 4.2197167; 1.1764875
9.8862005; 0.1274612; -1.0765066; -1.1189960; 0.0161713; 4.2474674; 1.1841992
9.9860611; 0.2169573; -1.0329910; -1.1174894; 0.0141174; 4.2752180; 1.1919109
10.0859217; 0.3066965; -0.9892008; -1.1161803; 0.0121112; 4.3029686; 1.1996226
10.1857823; 0.3966654; -0.9451636; -1.1150659; 0.0101476; 4.3307192; 1.2073343
10.2856430; 0.4868501; -0.9009068; -1.1141435; 0.0082217; 4.3584698; 1.2150461
10.3855036; 0.5772372; -0.8564580; -1.1134110; 0.0063288; 4.3862204; 1.2227578
10.4853642; 0.6678129; -0.8118445; -1.1128664; 0.0044645; 4.4139710; 1.2304695
10.5852248; 0.7585637; -0.7670939; -1.1125080; 0.0026244; 4.4417216; 1.2381812
10.6850854; 0.8494759; -0.7222336; -1.1123343; 0.0008043; 4.4694722; 1.1186282
10.7849460; 0.9395931; -0.6777564; -1.1123356; -0.0006824; 4.4943960; 1.0069043
10.8848066; 1.0289698; -0.6336520; -1.1124627; -0.0018672; 4.5167130; 1.0118917
10.9846672; 1.1184590; -0.5895128; -1.1127080; -0.0030468; 4.5390299; 1.0168791
11.0845278; 1.2080454; -0.5453596; -1.1130710; -0.0042237; 4.5613468; 1.0218665
11.1843885; 1.2977137; -0.5012129; -1.1135520; -0.0054002; 4.5836637; 1.0268539
11.2842491; 1.3874487; -0.4570937; -1.1141509; -0.0065789; 4.6059806; 1.0318413
11.3841097; 1.4772351; -0.4130225; -1.1148680; -0.0077622; 4.6282975; 1.0368287
11.4839703; 1.5670577; -0.3690200; -1.1157039; -0.0089523; 4.6506145; 1.0418161
11.5838309; 1.6569011; -0.3251071; -1.1166590; -0.0101519; 4.6729314; 1.0468035
11.6836915; 1.7467502; -0.2813043; -1.1177342; -0.0113632; 4.6952483; 1.0517909
11.7835521; 1.8365896; -0.2376325; -1.1189303; -0.0125890; 4.7175652; 1.0567783
11.8834127; 1.9264041; -0.1941122; -1.1202486; -0.0138315; 4.7398821; 1.0617657
11.9832733; 2.0161783; -0.1507643; -1.1216902; -0.0150936; 4.7621990; 0.9346944
12.0831340; 2.1065167; -0.1073122; -1.1232803; -0.0170326; 4.7817589; 0.7221550
12.1829946; 2.1977989; -0.0635997; -1.1251577; -0.0200741; 4.7968164; 0.7244255
12.2828552; 2.2890081; -0.0201496; -1.1273411; -0.0231574; 4.8118739; 0.7266959
12.3827158; 2.3801401; 0.0230027; -1.1298335; -0.0262878; 4.8269315; 0.7289664
12.4825764; 2.4711908; 0.0658218; -1.1326381; -0.0294707; 4.8419890; 0.7312368
12.5824370; 2.5621562; 0.1082720; -1.1357585; -0.0327119; 4.8570465; 0.7335073
12.6822976; 2.6530320; 0.1503181; -1.1391989; -0.0360168; 4.8721041; 0.7357778
12.7821582; 2.7438140; 0.1919244; -1.1429634; -0.0393912; 4.8871616; 0.7380482
12.8820188; 2.8344983; 0.2330557; -1.1470568; -0.0428410; 4.9022191; 0.7403187
12.9818795; 2.9250806; 0.2736763; -1.1514843; -0.0463720; 4.9172766; 0.7425891
13.0817401; 3.0155568; 0.3137509; -1.1562512; -0.0499903; 4.9323342; 0.7448596
13.1816007; 3.1059228; 0.3532439; -1.1613633; -0.0537020; 4.9473917; 0.7471300
13.2814613; 3.1961744; 0.3921200; -1.1668268; -0.0575131; 4.9624492; 0.4078184
13.3813219; 3.2885777; 0.4312980; -1.1728159; -0.0621955; 4.9706491; 0.0294296
13.4811825; 3.3833632; 0.4707807; -1.1794930; -0.0678999; 4.9712403; 0.0294331
13.5810431; 3.4779955; 0.5094293; -1.1867340; -0.0738145; 4.9718315; 0.0294366
13.6809037; 3.5724616; 0.5471827; -1.1945534; -0.0799573; 4.9724227; 0.0294401
13.7807643; 3.6667483; 0.5839799; -1.2029670; -0.0863469; 4.9730139; 0.0294436
13.8806250; 3.7608425; 0.6197600; -1.2119918; -0.0930023; 4.9736051; 0.0294471
13.9804856; 3.8547312; 0.6544621; -1.2216456; -0.0999423; 4.9741963; 0.0294506
14.0803462; 3.9484013; 0.6880251; -1.2319474; -0.1071860; 4.9747875; 0.0294541
14.1802068; 4.0418396; 0.7203882; -1.2429175; -0.1147522; 4.9753787; 0.0294576
14.2800674; 4.1350331; 0.7514903; -1.2545766; -0.1226592; 4.9759699; 0.0294611
14.3799280; 4.2279686; 0.7812706; -1.2669470; -0.1309248; 4.9765612; 0.0294646
14.4797886; 4.3206331; 0.8096679; -1.2800512; -0.1395653; 4.9771524; -0.3534091
14.5796492; 4.4151700; 0.8372341; -1.2942296; -0.1473950; 4.9700566; -1.7046333
14.6795098; 4.5169932; 0.8652735; -1.3100080; -0.1515149; 4.9356875; -1.6928045
14.7793705; 4.6183265; 0.8914484; -1.3261107; -0.1563246; 4.9013184; -1.6809757
14.8792311; 4.7190636; 0.9157264; -1.3425903; -0.1618880; 4.8669493; -1.6691468
