# 2024-11-19 14:02:39
# d41d8cd98f00b204e9800998ecf8427e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-7.193851011765059589e+00;1.210929853696380148e-01;-7.323040272911697235e-01;2.078836412976435566e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.475426673898972307e-01;7.460985059427390764e-01
9.309105856733626561e-02;-7.124625154924373760e+00;5.885372179864047093e-02;-7.128492805461819071e-01;3.088873963700959346e-01;1.000000000000000000e+00;0.000000000000000000e+00;9.249668023621077095e-01;7.880780377527212277e-01
1.852469601150747991e-01;-7.053738189446117524e+00;-3.386870531021467354e-05;-6.748608551350031570e-01;4.011713216551104910e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.855442600423334421e-01;7.841000985951752655e-01
2.767476295424194377e-01;-6.981251503970166361e+00;-5.587339712705399059e-02;-6.392901431877872076e-01;3.758891235756072202e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.677733949563247728e-01;7.663292335091665963e-01
3.678393648207807232e-01;-6.907225755554178726e+00;-1.089572252433075178e-01;-6.063211932620420352e-01;3.477676680358735561e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.809314568454588157e-01;8.501979735169553631e-01
4.587364660045860076e-01;-6.831720869673572061e+00;-1.595664656226641331e-01;-5.760728127860671455e-01;3.177925995300461270e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.688115210812247469e-01;8.173673596340664815e-01
5.496233548043596429e-01;-6.754796040221537901e+00;-2.079709816255937704e-01;-5.486041416326563613e-01;2.868619897047045009e-01;1.000000000000000000e+00;0.000000000000000000e+00;6.975426673898972307e-01;8.079019048177285001e-01
6.406570294115412345e-01;-6.676509729509038316e+00;-2.544293874044428194e-01;-5.239222298423193980e-01;2.557503386814967139e-01;1.000000000000000000e+00;0.000000000000000000e+00;6.975426673898972307e-01;8.375198621800485910e-01
7.319697068273646190e-01;-6.596919668264802361e+00;-2.991890479034345351e-01;-5.019905307003716954e-01;2.250930329104591232e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.411616209290770030e-01;8.397174594819187821e-01
8.236715234158524801e-01;-6.516082855635343840e+00;-3.424860788586684412e-01;-4.827374432661489245e-01;1.953866264502118477e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.188115210812247025e-01;8.291707585090559718e-01
9.158531885264729056e-01;-6.434055559184931106e+00;-3.845453467981213569e-01;-4.660643001536631247e-01;1.669997288108546474e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.188115210812247025e-01;8.673673596340665259e-01
1.008588511531123277e+00;-6.350893314895615482e+00;-4.255804690416460367e-01;-4.518524415303079023e-01;1.401897978578262871e-01;1.000000000000000000e+00;0.000000000000000000e+00;6.975426673898972307e-01;8.375198621800485910e-01
1.101936746537862888e+00;-6.266650927167205509e+00;-4.657938137009719481e-01;-4.399692150752810837e-01;1.151221816461124176e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.475426673898972751e-01;8.079019048177285001e-01
