# 2024-11-18 22:04:40
# d41d8cd98f00b204e9800998ecf8427e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;-7.300050938308467963e+00;1.225127313263573714e-01;-5.288074982436362648e-01;3.162969443054437085e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.082910378713428379e-01;-7.206551448422835904e+00;6.787946056229642033e-02;-5.253667247224660386e-01;4.736965851621476736e-02;1.000000000000000000e+00;0.000000000000000000e+00
2.156042849360298996e-01;-7.113524145005447608e+00;1.438129410347519475e-02;-5.185496932424564775e-01;6.288371229804208540e-02;1.000000000000000000e+00;0.000000000000000000e+00
3.219871627215185050e-01;-7.020949099583811304e+00;-3.803223135612526090e-02;-5.119334054459973027e-01;6.146198023063799420e-02;1.000000000000000000e+00;0.000000000000000000e+00
4.274865346155381496e-01;-6.928806383685417458e+00;-8.941157912252395423e-02;-5.055316188634033647e-01;5.985894335780872488e-02;1.000000000000000000e+00;0.000000000000000000e+00
5.321487079435487377e-01;-6.837076068837760978e+00;-1.398072125017399692e-01;-4.993579083967616961e-01;5.807459886870891541e-02;1.000000000000000000e+00;0.000000000000000000e+00
6.360194386285261681e-01;-6.745738226568346541e+00;-1.892695947997923844e-01;-4.934256087136322799e-01;5.610994435814280895e-02;1.000000000000000000e+00;0.000000000000000000e+00
7.391439385013369723e-01;-6.654772928404666388e+00;-2.378491893227001330e-01;-4.877477568677685005e-01;5.396699830306282003e-02;1.000000000000000000e+00;0.000000000000000000e+00
8.415668853099117497e-01;-6.564160245874220756e+00;-2.855964593764823700e-01;-4.823370355548290411e-01;5.164881139700988610e-02;1.000000000000000000e+00;0.000000000000000000e+00
9.433324354544694312e-01;-6.473880250504503664e+00;-3.325618682671578341e-01;-4.772057173973097699e-01;4.915946861156941794e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.044484239453987273e+00;-6.383913013823015348e+00;-3.787958793007459857e-01;-4.723656106342015160e-01;4.650408199509002000e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.145065460126684975e+00;-6.294238607357248050e+00;-4.243489557832655912e-01;-4.678280065679836230e-01;4.368877435084522753e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.245118793444353722e+00;-6.204837102634704671e+00;-4.692715610207358057e-01;-4.636036290954722028e-01;4.072065405576119623e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.344686491997590494e+00;-6.115688571182881894e+00;-5.136141583191754512e-01;-4.597025866207509193e-01;3.760778138382495778e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.443810390986240311e+00;-6.026773084529271074e+00;-5.574272109846037937e-01;-4.561343266189893941e-01;3.435912678755862620e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.542531936627235423e+00;-5.938070714201377776e+00;-6.007611823230395443e-01;-4.529075930895732349e-01;3.098452165886817281e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.640892216850671437e+00;-5.849561531726696018e+00;-6.436665356405024685e-01;-4.500303871079232021e-01;2.749460214023490695e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.738931994134394587e+00;-5.761225608632719819e+00;-6.861937342430106668e-01;-4.475099306570753943e-01;2.390074659493638537e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.836691740308279863e+00;-5.673043016446948528e+00;-7.283932414365836827e-01;-4.453526338934929996e-01;2.021500736161409295e-02;1.000000000000000000e+00;0.000000000000000000e+00
1.934211673141513543e+00;-5.584993826696880603e+00;-7.703155205272405048e-01;-4.435640659779709893e-01;1.645003742332031005e-02;1.000000000000000000e+00;0.000000000000000000e+00
2.031531794509963795e+00;-5.497058110910012729e+00;-8.120110348210002327e-01;-4.421489295811480980e-01;1.261901261907681475e-02;1.000000000000000000e+00;0.000000000000000000e+00
2.128691929926257220e+00;-5.409215940613841589e+00;-8.535302476238816327e-01;-4.411110391545848275e-01;8.735550013963575000e-03;1.000000000000000000e+00;0.000000000000000000e+00
2.225731769202591970e+00;-5.321447387335865642e+00;-8.949236222419041376e-01;-4.404533030427562612e-01;4.813623028062900475e-03;1.000000000000000000e+00;0.000000000000000000e+00
