# 2024-11-20 14:31:24
# d41d8cd98f00b204e9800998ecf8427e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-7.292586457948556422e+00;4.708921838026768059e-02;-2.450303489699373616e-01;-2.290392250706636823e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.355442600423335087e-01;8.341000985951753099e-01
4.697261592511708939e-02;-7.247016915790125857e+00;3.569433030185362871e-02;-2.557666456982340963e-01;-3.361003165794340664e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.591462427472619234e-01;8.577020813001037247e-01
9.414735339099540579e-02;-7.201506979977112088e+00;2.327251089928983677e-02;-2.766039149570863054e-01;-4.284031185996195479e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.091462427472618790e-01;8.577020813001037247e-01
1.415338374754329664e-01;-7.156054777572363079e+00;9.871907538157882051e-03;-2.962793548677217226e-01;-4.023496710022004819e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.562549381609881882e-01;7.841000985951752655e-01
1.891388527237193307e-01;-7.110658461802170649e+00;-4.460293663421577813e-03;-3.148272771790253666e-01;-3.772304732288453977e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.529204679174070547e-01;8.014763064702488116e-01
2.369666080095254312e-01;-7.065316212056289125e+00;-1.967786783478870857e-02;-3.322839402616210025e-01;-3.530919887189154505e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.355442600423335087e-01;7.841000985951752655e-01
2.850189890374636437e-01;-7.020026233887920242e+00;-3.573555135274445599e-02;-3.486868344203770120e-01;-3.299591706353541820e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.352084566224525775e-01;8.130536170566396992e-01
3.332957974297902082e-01;-6.974786759013722914e+00;-5.258904184155064471e-02;-3.640740839862725009e-01;-3.078394069731219540e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.677733949563248839e-01;7.663292335091665963e-01
3.817949758047841091e-01;-6.929596045313815011e+00;-7.019499817292987331e-02;-3.784839556704850394e-01;-2.867260380131551045e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.144977785037978979e-01;7.630536170566396548e-01
4.305128186275284374e-01;-6.884452376831760034e+00;-8.851104046606565745e-02;-3.919544616889963362e-01;-2.666014278798387593e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.911616209290770474e-01;7.897174594819188487e-01
4.794441689054073086e-01;-6.839354063774591097e+00;-1.074957500876022598e-01;-4.045230459837674264e-01;-2.474395990576714055e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.644977785037978535e-01;7.630536170566396548e-01
5.285826010219375481e-01;-6.794299442512779841e+00;-1.271086696516447456e-01;-4.162263422364070320e-01;-2.292084563307246747e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.911616209290770474e-01;7.897174594819188487e-01
5.779205901641237819e-01;-6.749286875580257750e+00;-1.473103030197590868e-01;-4.270999930957560253e-01;-2.118716368760695246e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.188115210812246803e-01;7.673673596340665481e-01
6.274496689114272829e-01;-6.704314751674421480e+00;-1.680621153009720370e-01;-4.371785209720925325e-01;-1.953900281448471277e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.644977785037978535e-01;7.630536170566396548e-01
6.771605716275065356e-01;-6.659381485656105326e+00;-1.893265328517712009e-01;-4.464952417793451867e-01;-1.797229962749669896e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.911616209290770474e-01;7.397174594819188043e-01
7.270433673375091832e-01;-6.614485518549611420e+00;-2.110669432761049513e-01;-4.550822140507486679e-01;-1.648293663798958419e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.144977785037978979e-01;7.630536170566396548e-01
7.770875817912182848e-01;-6.569625317542692855e+00;-2.332476954253826507e-01;-4.629702168637778170e-01;-1.506681931541230257e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.118722990477317270e-01;7.397174594819188043e-01
8.272823094110630660e-01;-6.524799375986550132e+00;-2.558340993984742906e-01;-4.701887509535989107e-01;-1.371993564754829531e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.144977785037978979e-01;7.630536170566396548e-01
8.776163158092465943e-01;-6.480006213395854253e+00;-2.787924265417106584e-01;-4.767660582502930566e-01;-1.243840126076692643e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.911616209290770474e-01;7.397174594819188043e-01
9.280781315337723880e-01;-6.435244375448714749e+00;-3.020899094488836978e-01;-4.827291558399178784e-01;-1.121849275318965861e-01;1.000000000000000000e+00;0.000000000000000000e+00;8.144977785037978979e-01;7.630536170566396548e-01
9.786561376717894944e-01;-6.390512433986705432e+00;-3.256947419612458705e-01;-4.881038810186824617e-01;-1.005667150448525393e-01;1.000000000000000000e+00;0.000000000000000000e+00;7.911616209290770474e-01;7.397174594819188043e-01
1.029338643903472184e+00;-6.345808987014852853e+00;-3.495760791675105450e-01;-4.929149446885263131e-01;-8.949599871562723130e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.895221991998794264e-01;7.673673596340665481e-01
1.080113959561823211e+00;-6.301132658701633638e+00;-3.737040374038518298e-01;-4.971859908385896087e-01;-7.894151361091376884e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.144977785037978979e-01;7.630536170566396548e-01
1.130970458215248220e+00;-6.256482099378986028e+00;-3.980496942539049621e-01;-5.009396602757295591e-01;-6.887416090932588220e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.911616209290770474e-01;7.897174594819188487e-01
1.181896636251392518e+00;-6.211855985542301006e+00;-4.225850885487656972e-01;-5.041976571197002155e-01;-5.926702613049399798e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.144977785037978979e-01;7.630536170566396548e-01
1.232881165903251031e+00;-6.167253019850423179e+00;-4.472832203669907525e-01;-5.069808168714422525e-01;-5.009536964924771185e-02;1.000000000000000000e+00;0.000000000000000000e+00;7.911616209290770474e-01;7.897174594819188487e-01
1.283912943122693662e+00;-6.122671931125649891e+00;-4.721180510345977521e-01;-5.093091751043511417e-01;-4.133659643936311856e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.144977785037978979e-01;8.130536170566396992e-01
1.334981130672513672e+00;-6.078111474353735666e+00;-4.970645031250646717e-01;-5.112020360263310748e-01;-3.297021055043436455e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.669345834019870356e-01;7.947797438361741129e-01
1.386075196776252572e+00;-6.033570430683886876e+00;-5.220984604593309486e-01;-5.126780403210284831e-01;-2.497775861997289515e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.161373440410943925e-01;8.146931825939361937e-01
1.437184949635394560e+00;-5.989047607428775066e+00;-5.471967681057966493e-01;-5.137552318054886547e-01;-1.734276574075388141e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.618722990477317714e-01;7.897174594819188487e-01
1.488300568096327714e+00;-5.944541838064512085e+00;-5.723372323803225248e-01;-5.144511225447704339e-01;-1.005066619534508709e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.644977785037978313e-01;8.130536170566396992e-01
1.539412628724404986e+00;-5.900051982230671399e+00;-5.974986208462301773e-01;-5.147827561445728062e-01;-3.088730908849349546e-03;1.000000000000000000e+00;0.000000000000000000e+00;8.352084566224525775e-01;8.130536170566396992e-01
1.590512129519950468e+00;-5.855576925730280102e+00;-6.226606623143019492e-01;-5.147667690057259327e-01;3.554007050213116303e-03;1.000000000000000000e+00;0.000000000000000000e+00;8.434898829595018910e-01;7.920457215123436479e-01
1.641590510490582355e+00;-5.811115580529825131e+00;-6.478040468427817000e-01;-5.144194493728320161e-01;9.886828014351832505e-03;1.000000000000000000e+00;0.000000000000000000e+00;8.498398808490629230e-01;8.276850412832500448e-01
1.692639671276091162e+00;-5.766666884759240830e+00;-6.729104257373729192e-01;-5.137567940452478776e-01;1.591740173932206306e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.591462427472619234e-01;8.077020813001036803e-01
1.743651986005954280e+00;-5.722229802711919611e+00;-6.979624115512409466e-01;-5.127945626449119665e-01;2.165186359664893201e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.355442600423335087e-01;8.341000985951753099e-01
1.794620315555527146e+00;-5.677803324844707511e+00;-7.229435780850114179e-01;-5.115483293542363308e-01;2.709489082404790625e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.029204679174070103e-01;8.014763064702488116e-01
1.845538017354717564e+00;-5.633386467777904194e+00;-7.478384603867707092e-01;-5.100335320504985059e-01;3.224977887500680984e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.355442600423335087e-01;8.341000985951753099e-01
1.896398952892577094e+00;-5.588978274295270054e+00;-7.726325547520671577e-01;-5.082655187709610445e-01;3.711851801151994090e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.802684435571396238e-01;8.288242821099813806e-01
1.947197493052605699e+00;-5.544577813344011119e+00;-7.973123187239080645e-01;-5.062595914487264537e-01;4.170187035232676004e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.177733949563248395e-01;8.163292335091666407e-01
1.997928521406464153e+00;-5.500184180034794146e+00;-8.218651710927625809e-01;-5.040310468618026674e-01;4.599944763672542125e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.602328773185342614e-01;8.673673596340665259e-01
2.048587435588350658e+00;-5.455796495641744848e+00;-8.462794918965613755e-01;-5.015952147392274130e-01;5.000978996276719823e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.309314568454587713e-01;8.412906942732900628e-01
