# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.985514310733321394e-02;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;1.000000000000000056e-01;0.000000000000000000e+00;-5.317225598935982483e-03;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;2.000000000000000111e-01;0.000000000000000000e+00;1.425016611892148148e-03;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;3.000000000000000444e-01;0.000000000000000000e+00;-3.818137754521750728e-04;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;4.000000000000000222e-01;0.000000000000000000e+00;1.023080266624020330e-04;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;5.000000000000000000e-01;0.000000000000000000e+00;-2.741325777496807491e-05;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;6.000000000000000888e-01;0.000000000000000000e+00;7.345367136483550161e-06;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;7.000000000000000666e-01;0.000000000000000000e+00;-1.968184700407134474e-06;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;8.000000000000000444e-01;0.000000000000000000e+00;5.273735363509029387e-07;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;9.000000000000000222e-01;0.000000000000000000e+00;-1.413093106388561754e-07;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;1.000000000000000000e+00;0.000000000000000000e+00;3.786371585075171231e-08;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;1.100000000000000089e+00;0.000000000000000000e+00;-1.014555207157829235e-08;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.200000000000000178e+00;0.000000000000000000e+00;2.718492485285841767e-09;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.300000000000000044e+00;0.000000000000000000e+00;-7.284178659950341239e-10;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.400000000000000133e+00;0.000000000000000000e+00;1.951789789506088165e-10;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.500000000000000000e+00;0.000000000000000000e+00;-5.229804978899944941e-11;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.600000000000000089e+00;0.000000000000000000e+00;1.401322020670998861e-11;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.700000000000000178e+00;0.000000000000000000e+00;-3.754831037745635341e-12;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.800000000000000044e+00;0.000000000000000000e+00;1.006103944279387089e-12;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.900000000000000133e+00;0.000000000000000000e+00;-2.695847393714196548e-13;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;2.000000000000000000e+00;0.000000000000000000e+00;7.223501320632733828e-14;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;2.100000000000000089e+00;0.000000000000000000e+00;-1.935531345388684263e-14;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.200000000000000178e+00;0.000000000000000000e+00;5.186240609220228673e-15;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.300000000000000266e+00;2.300000000000000266e+00;0.000000000000000000e+00;-1.389648982994054114e-15;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.400000000000000355e+00;2.400000000000000355e+00;0.000000000000000000e+00;3.723553227559869455e-16;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000000e+00;2.500000000000000000e+00;0.000000000000000000e+00;-9.977230802989694645e-17;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.600000000000000089e+00;2.600000000000000089e+00;0.000000000000000000e+00;2.673390936360010382e-17;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
