# x_m, y_m, w_tr_right_m, w_tr_left_m
1.559268733007750383e-17,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.264531204107737117e-02,3.880773639826822635e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.623286597832175882e-01,1.098836307501965814e-01,4.000000000000000000e+00,4.000000000000000000e+00
2.333146102466193972e-01,1.804964494740829706e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.039515293628005654e-01,2.512333489385377150e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.746819711466026770e-01,3.219370010687608308e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.453873536071417116e-01,3.926495617953419948e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.160994506931119163e-01,4.633597354707232330e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.868097486006204067e-01,5.340705487545457375e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.575205285965448621e-01,6.047811906558028250e-01,4.000000000000000000e+00,4.000000000000000000e+00
7.282311794172672270e-01,6.754918784788801478e-01,4.000000000000000000e+00,4.000000000000000000e+00
7.989418648503812115e-01,7.462025539972427790e-01,4.000000000000000000e+00,4.000000000000000000e+00
8.696525410091325847e-01,8.169132328126438303e-01,4.000000000000000000e+00,4.000000000000000000e+00
9.403632196529416731e-01,8.876239107446057819e-01,4.000000000000000000e+00,4.000000000000000000e+00
1.011073897630881735e+00,9.583345889132846018e-01,4.000000000000000000e+00,4.000000000000000000e+00
1.081784575787240632e+00,1.029045267018535714e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.152495253895792660e+00,1.099755945140782121e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.223205932017154662e+00,1.170466623258474392e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.293916610135084078e+00,1.241177301377387021e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.364627288253932980e+00,1.311887979495972800e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.435337966372535634e+00,1.382598657614645621e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.506048644491204458e+00,1.453309335733295571e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.576759322609855740e+00,1.524020013851951738e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.647470000728511463e+00,1.594730691970606351e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.718180678847165854e+00,1.665441370089261186e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.788891356965820245e+00,1.736152048207915577e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.859602035084475302e+00,1.806862726326570412e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.930312713203130137e+00,1.877573404445225025e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.001023391321784750e+00,1.948284082563879860e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.071734069440439807e+00,2.018994760682534917e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.142444747559093976e+00,2.089705438801189530e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.213155425677749033e+00,2.160416116919844587e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.283866103796404090e+00,2.231126795038498756e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.354576781915059147e+00,2.301837473157153813e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.425287460033713760e+00,2.372548151275808870e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.495998138152368373e+00,2.443258829394463483e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.566708816271022986e+00,2.513969507513118096e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.637419494389678043e+00,2.584680185631773597e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.708130172508332656e+00,2.655390863750427766e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.778840850626987713e+00,2.726101541869082823e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.849551528745641882e+00,2.796812219987737436e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.920262206864297383e+00,2.867522898106392493e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.990972884982951996e+00,2.938233576225047106e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.061683563101606609e+00,3.008944254343701274e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.132394241220261222e+00,3.079654932462356776e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.203104919338915835e+00,3.150365610581010944e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.273815597457570892e+00,3.221076288699666001e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.344526275576225061e+00,3.291786966818320614e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.415236953694880562e+00,3.362497644936975671e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.485947631813534731e+00,3.433208323055630284e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.556658309932189788e+00,3.503919001174284453e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.627368988050844401e+00,3.574629679292939954e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.698079666169499014e+00,3.645340357411594123e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.768790344288153626e+00,3.716051035530249180e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.839501022406808239e+00,3.786761713648903793e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.910211700525462852e+00,3.857472391767557962e+00,4.000000000000000000e+00,4.000000000000000000e+00
3.980922378644117909e+00,3.928183069886213463e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.051633056762772078e+00,3.998893748004867632e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.122343734881427579e+00,4.069604426123523133e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.193054413000082192e+00,4.140315104242177746e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.263765091118735917e+00,4.211025782360831471e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.334475769237391418e+00,4.281736460479487860e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.405186447356046031e+00,4.352447138598141585e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.475897125474701532e+00,4.423157816716797086e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.546607803593356145e+00,4.493868494835450811e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.617318481712011646e+00,4.564579172954105424e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.688029159830665371e+00,4.635289851072760925e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.758739837949319984e+00,4.706000529191415538e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.829450516067975485e+00,4.776711207310070151e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.900161194186630098e+00,4.847421885428724764e+00,4.000000000000000000e+00,4.000000000000000000e+00
