# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;1.559268733007750383e-17;0.000000000000000000e+00;1.388262099444522946e+00;7.853981633974482790e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;9.269551237856389625e-02;3.871758900417433119e-02;4.801949560163575326e-01;-1.545748380301425473e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;1.623152086433282959e-01;1.099077856716438040e-01;8.850308135630450268e-01;4.141820302034829315e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;2.333182144686900272e-01;1.804899771823879340e-01;7.598781818842820224e-01;-1.109797405125061316e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;3.039505636144074208e-01;2.512350831838705556e-01;7.923248816564191221e-01;2.973693184654093141e-03;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;3.746822299181046811e-01;3.219365363791243939e-01;7.835484524414197960e-01;-7.967986873660149469e-04;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;4.453872842695266732e-01;3.926496863085547906e-01;7.858942454725765803e-01;2.135015648099021913e-04;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;5.160994692720698440e-01;4.633597021075083755e-01;7.852652711411540754e-01;-5.720757187359430630e-05;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;5.868097436224036789e-01;5.340705576941922050e-01;7.854337741066208523e-01;1.532872268447501015e-05;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;6.575205299304539563e-01;6.047811882604318123e-01;7.853886217044211415e-01;-4.107318864305710572e-06;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;7.282311790598474666e-01;6.754918791207178419e-01;7.854007200984332027e-01;1.100552772747784285e-06;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;7.989418649461514921e-01;7.462025538252629042e-01;7.853974783323486308e-01;-2.948922266856266274e-07;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;8.696525409834710008e-01;8.169132328587256353e-01;7.853983469601507617e-01;7.901613399462914339e-08;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;9.403632196598177284e-01;8.876239107322582145e-01;7.853981142119733638e-01;-2.117230929289028363e-08;4.000000000000000000e+00;0.000000000000000000e+00
